Time (ms),Mic Value
0.9982585906982422,2514
0.9982585906982422,2512
1.9941329956054688,2508
2.9914379119873047,2522
3.9894580841064453,2526
4.986763000488281,2534
5.983591079711914,2510
6.981372833251953,2536
7.978200912475586,2554
8.975744247436523,2546
9.97304916381836,2542
10.970354080200195,2534
11.967897415161133,2524
12.964248657226562,2522
13.962984085083008,2524
14.95981216430664,2526
15.956640243530273,2514
17.95339584350586,2490
17.95339584350586,2506
18.948793411254883,2518
19.947528839111328,2516
20.94435691833496,2510
21.940946578979492,2514
22.93848991394043,2522
23.935794830322266,2486
25.931596755981445,2512
25.931596755981445,2522
26.92699432373047,2534
27.92501449584961,2502
28.92303466796875,2482
29.920101165771484,2508
30.91716766357422,2514
31.91542625427246,2554
32.911062240600586,2510
33.90812873840332,2480
34.906625747680664,2504
35.9039306640625,2520
36.90075874328613,2532
37.89782524108887,2514
39.89386558532715,2542
39.89386558532715,2474
40.88950157165527,2506
41.88704490661621,2548
42.88434982299805,2538
43.88165473937988,2516
44.87943649291992,2510
46.87333106994629,2514
46.87333106994629,2502
48.868656158447266,2506
49.86691474914551,2518
49.86691474914551,2514
51.86176300048828,2502
52.85978317260742,2490
53.878068923950195,2506
53.878068923950195,2546
54.852962493896484,2526
55.85050582885742,2506
56.847572326660156,2526
58.84122848510742,2538
59.83924865722656,2522
60.8372688293457,2538
61.835527420043945,2522
62.83211708068848,2518
63.828229904174805,2506
64.82672691345215,2518
65.82379341125488,2526
66.82133674621582,2526
67.82031059265137,2510
68.81570816040039,2514
69.81515884399414,2526
70.80984115600586,2522
71.807861328125,2534
72.80564308166504,2542
73.80270957946777,2542
74.80001449584961,2522
75.79708099365234,2510
76.79319381713867,2510
77.79192924499512,2534
78.79233360290527,2518
79.78701591491699,2510
80.78861236572266,2450
81.78114891052246,2514
82.7784538269043,2506
83.77599716186523,2522
84.77377891540527,2542
85.77084541320801,2506
86.78984642028809,2502
87.76473999023438,2522
88.7761116027832,2518
89.75958824157715,2508
90.75641632080078,2546
91.75395965576172,2540
92.75078773498535,2518
93.74809265136719,2508
94.74492073059082,2522
95.74222564697266,2554
96.73953056335449,2556
97.73755073547363,2538
98.73509407043457,2514
99.7319221496582,2534
100.74019432067871,2542
101.72724723815918,2528
102.72455215454102,2518
103.72138023376465,2522
104.71844673156738,2502
105.71599006652832,2510
106.71329498291016,2538
107.7115535736084,2524
108.70981216430664,2520
109.70568656921387,2494
110.7027530670166,2504
111.70005798339844,2514
112.69736289978027,2528
113.69466781616211,2534
114.69173431396484,2514
115.68903923034668,2508
116.68658256530762,2506
117.68388748168945,2538
118.70551109313965,2546
119.68088150024414,2510
120.67747116088867,2502
121.67477607727051,2522
122.67255783081055,2518
123.66938591003418,2524
124.66692924499512,2554
125.66399574279785,2538
126.6622543334961,2514
127.65884399414062,2514
128.65710258483887,2540
129.6544075012207,2512
130.65004348754883,2504
131.64901733398438,2534
132.645845413208,2518
133.64410400390625,2522
134.6414089202881,2534
135.63776016235352,2534
136.63482666015625,2526
137.63189315795898,2552
138.62943649291992,2534
139.64104652404785,2522
140.625,2506
141.62135124206543,2526
142.61770248413086,2546
143.62502098083496,2512
144.61398124694824,2502
145.61128616333008,2510
146.6083526611328,2508
147.60589599609375,2542
148.6032009124756,2542
149.60074424743652,2534
150.59757232666016,2534
151.5963077545166,2534
152.59289741516113,2546
153.59091758728027,2534
154.5858383178711,2548
155.58290481567383,2522
156.57973289489746,2502
157.5770378112793,2500
158.57505798339844,2538
159.57236289978027,2554
160.5703830718994,2550
161.56792640686035,2512
162.56451606750488,2516
163.56968879699707,2542
164.58797454833984,2518
165.58504104614258,2540
166.58329963684082,2546
167.58012771606445,2522
168.61224174499512,2510
169.54827308654785,2504
170.57228088378906,2550
171.5414524078369,2514
172.53828048706055,2510
173.53534698486328,2514
174.53384399414062,2512
175.53043365478516,2514
176.5282154083252,2524
177.52552032470703,2512
178.52234840393066,2498
179.52370643615723,2498
180.51600456237793,2512
181.51497840881348,2518
182.511568069458,2526
183.50934982299805,2526
184.50641632080078,2516
185.50348281860352,2520
186.50078773498535,2526
187.4978542327881,2510
188.49563598632812,2542
189.49270248413086,2518
190.4904842376709,2512
191.48731231689453,2516
192.48437881469727,2514
193.4826374053955,2512
194.4870948791504,2514
195.47653198242188,2494
196.4740753173828,2510
197.47138023376465,2514
198.46868515014648,2534
199.46599006652832,2546
200.46353340148926,2526
201.4610767364502,2534
202.45742797851562,2540
203.45568656921387,2522
204.4525146484375,2516
205.44981956481934,2522
206.44712448120117,2526
207.4437141418457,2522
208.44173431396484,2494
209.4588279724121,2518
210.44349670410156,2522
211.43484115600586,2512
212.4314308166504,2514
213.42921257019043,2512
214.42627906799316,2526
215.423583984375,2514
216.42112731933594,2518
217.41819381713867,2538
218.4159755706787,2534
219.41280364990234,2510
220.41034698486328,2514
221.40741348266602,2526
222.40471839904785,2522
223.4029769897461,2526
224.39980506896973,2552
