Time (ms),Mic Value
0.9980201721191406,3210
1.9953250885009766,3242
2.9921531677246094,3226
3.9894580841064453,3216
4.98652458190918,3236
5.984067916870117,3216
6.98089599609375,3214
7.9784393310546875,3226
8.976221084594727,3254
9.973526000976562,3246
10.96963882446289,3238
11.966705322265625,3250
12.96377182006836,3226
13.961553573608398,3222
14.961719512939453,3238
15.958547592163086,3242
16.95561408996582,3214
17.952680587768555,3194
18.94998550415039,3230
19.945383071899414,3234
20.974159240722656,3236
21.94046974182129,3254
22.938013076782227,3240
23.93627166748047,3274
24.9330997467041,3250
25.931119918823242,3222
26.927709579467773,3242
27.924060821533203,3270
28.92136573791504,3258
29.918432235717773,3250
30.915498733520508,3254
31.914949417114258,3250
32.921552658081055,3262
33.90765190124512,3270
34.905433654785156,3230
35.90226173400879,3246
36.90004348754883,3250
37.89687156677246,3250
38.8946533203125,3222
39.891958236694336,3246
40.88926315307617,3222
41.88799858093262,3190
42.88792610168457,3224
43.886661529541016,3242
44.90828514099121,3222
45.905113220214844,3218
46.90265655517578,3222
47.899723052978516,3198
48.899173736572266,3214
49.901723861694336,3220
50.86469650268555,3222
51.86152458190918,3206
52.85787582397461,3242
53.88474464416504,3254
54.88181114196777,3210
55.88102340698242,3214
56.87689781188965,3240
57.874441146850586,3226
58.843135833740234,3226
59.84067916870117,3242
60.83869934082031,3262
61.83481216430664,3278
62.83235549926758,3242
63.83085250854492,3252
64.85462188720703,3220
65.85168838500977,3218
66.85018539428711,3250
67.84725189208984,3228
68.84527206420898,3236
69.84233856201172,3228
70.83964347839355,3226
71.8083381652832,3252
72.83520698547363,3282
73.83847236633301,3250
74.83410835266113,3248
75.79612731933594,3230
76.8284797668457,3254
77.82244682312012,3240
78.82475852966309,3246
79.7879695892334,3212
80.78336715698242,3226
81.78019523620605,3214
82.80730247497559,3218
83.80389213562012,3208
84.77354049682617,3236
85.7992172241211,3230
86.79676055908203,3226
87.79382705688477,3254
88.76156806945801,3250
89.78915214538574,3222
90.78621864318848,3238
91.766357421875,3254
92.75412559509277,3242
93.78194808959961,3216
94.74706649780273,3248
95.77703475952148,3230
96.76909446716309,3286
97.76711463928223,3272
98.76465797424316,3226
99.7610092163086,3226
100.75592994689941,3254
101.72820091247559,3258
102.72669792175293,3254
103.75189781188965,3242
104.74777221679688,3270
105.71837425231934,3194
106.74309730529785,3230
107.74016380310059,3254
108.70933532714844,3230
109.70616340637207,3222
110.70370674133301,3250
111.70339584350586,3230
112.7016544342041,3248
113.69681358337402,3240
114.72082138061523,3218
115.71812629699707,3194
116.71614646911621,3218
117.68627166748047,3230
118.71170997619629,3226
119.67873573303223,3226
120.68557739257812,3218
121.67572975158691,3250
122.67231941223145,3254
123.66914749145508,3250
124.66955184936523,3246
125.66614151000977,3212
126.66153907775879,3218
127.69126892089844,3222
128.68523597717285,3222
129.6823024749756,3226
130.67984580993652,3212
131.64973258972168,3216
132.6460838317871,3248
133.64362716674805,3230
134.66930389404297,3218
135.6360912322998,3256
136.63339614868164,3250
137.65954971313477,3248
138.6573314666748,3256
139.6615505218506,3240
140.65241813659668,3226
141.66712760925293,3254
142.61746406555176,3254
143.64862442016602,3180
144.61517333984375,3222
145.61080932617188,3222
146.6217041015625,3246
147.63402938842773,3254
148.63038063049316,3262
149.627685546875,3252
150.59614181518555,3222
151.5953540802002,3250
152.59218215942383,3238
153.58948707580566,3198
154.5877456665039,3254
155.58457374572754,3226
156.58187866210938,3210
157.578706741333,3230
158.57625007629395,3238
159.5742702484131,3224
160.5856418609619,3246
161.59439086914062,3218
162.59288787841797,3194
163.59424591064453,3194
164.58654403686523,3228
165.5566692352295,3222
166.58306121826172,3218
167.55223274230957,3222
168.57671737670898,3198
169.58045959472656,3226
170.57180404663086,3246
171.57626152038574,3222
172.57428169250488,3218
173.56324195861816,3230
174.56293106079102,3222
175.55832862854004,3228
176.55611038208008,3224
177.55699157714844,3210
178.5578727722168,3222
179.5482635498047,3226
180.54485321044922,3210
181.54263496398926,3206
182.539701461792,3218
183.54225158691406,3218
184.53431129455566,3224
185.5318546295166,3270
186.52915954589844,3242
187.5290870666504,3222
188.5237693786621,3256
189.52298164367676,3254
190.51885604858398,3236
191.51616096496582,3216
192.48509407043457,3222
193.5100555419922,3196
194.51904296875,3178
195.50490379333496,3222
196.5022087097168,3220
197.50714302062988,3194
198.49705696105957,3194
199.4946002960205,3210
200.49262046813965,3190
201.48897171020508,3206
202.48746871948242,3218
203.48381996154785,3220
204.4820785522461,3192
205.47842979431152,3158
206.47716522216797,3186
207.4728012084961,3210
208.47129821777344,3158
209.46836471557617,3174
210.4651927947998,3176
211.46273612976074,3186
212.46099472045898,3198
213.45782279968262,3190
214.45536613464355,3214
215.4526710510254,3224
216.44878387451172,3198
217.4241542816162,3222
218.44482421875,3242
219.44093704223633,3210
220.43919563293457,3210
221.4360237121582,3238
222.43356704711914,3222
223.43015670776367,3246
224.42865371704102,3254
225.42500495910645,3246
226.4266014099121,3246
227.39243507385254,3256
228.38854789733887,3262
229.3858528137207,3246
230.38387298583984,3270
231.40907287597656,3266
232.4068546295166,3238
233.40368270874023,3258
234.40098762512207,3254
235.3987693786621,3254
236.39583587646484,3242
237.39385604858398,3258
238.3902072906494,3226
239.39085006713867,3230
240.3585910797119,3246
241.38283729553223,3242
242.37942695617676,3196
243.35026741027832,3208
244.37403678894043,3222
245.37158012390137,3214
246.3691234588623,3194
247.36642837524414,3210
248.36397171020508,3222
249.33457374572754,3238
250.35905838012695,3218
251.3582706451416,3226
252.35414505004883,3222
253.35025787353516,3198
254.347562789917,3214
255.34510612487793,3218
256.345272064209,3214
257.3401927947998,3166
258.33749771118164,3198
259.3066692352295,3208
260.3323459625244,3220
261.32893562316895,3214
262.3262405395508,3212
263.3237838745117,3206
264.32108879089355,3186
265.3186321258545,3198
266.3154602050781,3208
267.31276512145996,3190
268.3103084564209,3186
269.30975914001465,3190
270.3056335449219,3180
271.3027000427246,3166
272.29809761047363,3162
273.29492568969727,3182
274.2929458618164,3176
275.29072761535645,3162
276.2885093688965,3156
277.2860527038574,3150
278.28288078308105,3166
279.2799472808838,3166
280.24911880493164,3148
281.27479553222656,3144
282.2723388671875,3158
283.26964378356934,3162
284.2392921447754,3162
285.264253616333,3142
286.26251220703125,3126
287.2588634490967,3166
288.2559299468994,3162
289.25514221191406,3130
290.2505397796631,3146
291.2473678588867,3150
292.24467277526855,3146
293.2429313659668,3150
294.23999786376953,3166
295.23754119873047,3144
296.2348461151123,3146
297.23143577575684,3180
298.2325553894043,3198
299.2260456085205,3182
300.19593238830566,3158
301.2211322784424,3154
302.2181987762451,3174
303.21598052978516,3208
304.2178153991699,3182
305.2105903625488,3152
306.20765686035156,3142
307.2049617767334,3162
309.1742992401123,3174
309.1742992401123,3162
310.20426750183105,3158
311.19561195373535,3174
312.1933937072754,3188
313.1904602050781,3186
314.18752670288086,3190
315.1853084564209,3182
316.18237495422363,3182
317.17991828918457,3186
318.1777000427246,3178
319.17405128479004,3166
320.1727867126465,3190
321.1686611175537,3198
322.16596603393555,3180
323.1639862060547,3178
324.1610527038574,3150
326.14827156066895,3176
326.14827156066895,3198
327.15320587158203,3198
328.15027236938477,3210
329.1475772857666,3190
330.11579513549805,3178
331.1421871185303,3186
332.1397304534912,3194
334.11097526550293,3210
334.11097526550293,3162
335.13927459716797,3142
336.10081672668457,3144
337.1260166168213,3162
338.12427520751953,3158
339.12110328674316,3186
340.1212692260742,3142
341.11738204956055,3146
342.1194553375244,3164
343.1105613708496,3174
344.10738945007324,3150
345.1101779937744,3178
346.1024761199951,3158
347.09930419921875,3146
348.0968475341797,3154
349.0939140319824,3178
351.0894775390625,3164
351.0894775390625,3182
352.08630561828613,3154
353.08361053466797,3162
355.07845878601074,3198
356.0829162597656,3190
357.0737838745117,3142
358.07085037231445,3166
359.04765129089355,3166
360.03589630126953,3162
361.03296279907227,3174
362.030029296875,3174
363.05713653564453,3172
364.05420303344727,3196
365.0515079498291,3194
366.04857444763184,3184
367.0458793640137,3182
368.0438995361328,3190
369.04096603393555,3166
370.0094223022461,3150
371.03939056396484,3166
372.03407287597656,3162
373.0301856994629,3158
374.0274906158447,3162
375.02527236938477,3154
376.0230541229248,3150
377.01940536499023,3174
378.0169486999512,3174
379.014253616333,3174
380.01179695129395,3186
381.0131549835205,3190
382.0068836212158,3186
382.9762935638428,3166
384.0014934539795,3198
384.99927520751953,3174
385.99658012390137,3154
386.993408203125,3178
387.96305656433105,3188
388.96870613098145,3184
389.9574279785156,3190
390.95449447631836,3198
391.951322555542,3190
392.94910430908203,3198
393.94593238830566,3196
394.9432373046875,3182
395.94054222106934,3190
396.9378471374512,3194
397.9353904724121,3184
398.93269538879395,3186
399.9302387237549,3186
400.9275436401367,3218
401.92484855651855,3222
402.9216766357422,3216
403.9192199707031,3214
404.91652488708496,3178
405.9135913848877,3214
406.91089630126953,3226
407.90867805480957,3212
408.9057445526123,3210
409.90400314331055,3240
410.900354385376,3214
411.898136138916,3190
412.89544105529785,3216
413.8922691345215,3242
414.8898124694824,3258
415.88711738586426,3282
416.8844223022461,3248
417.88220405578613,3246
418.87927055358887,3272
419.877290725708,3294
420.87364196777344,3294
422.08385467529297,3280
422.08385467529297,3250
423.084020614624,3250
424.08084869384766,3290
426.07569694519043,3302
426.07569694519043,3278
428.0846118927002,3262
429.06761169433594,3278
430.0649166107178,3286
431.0622215270996,3288
432.05976486206055,3286
433.0568313598633,3270
434.0546131134033,3270
435.05144119262695,3290
436.0489845275879,3302
437.0462894439697,3294
438.04335594177246,3282
439.0408992767334,3304
440.03820419311523,3338
441.03550910949707,3350
442.0325756072998,3342
443.03035736083984,3338
444.0276622772217,3342
445.0247287750244,3350
446.02227210998535,3374
447.0195770263672,3350
448.0166435241699,3350
449.01394844055176,3344
450.0117301940918,3358
451.00879669189453,3370
452.00610160827637,3382
453.0036449432373,3358
454.00071144104004,3370
454.9980163574219,3382
455.9953212738037,3370
456.99286460876465,3382
457.9901695251465,3370
458.99009704589844,3346
459.9874019622803,3346
461.0116481781006,3362
462.0099067687988,3366
463.00625801086426,3322
464.0038013458252,3324
465.00086784362793,3320
465.99841117858887,3324
466.9675827026367,3318
467.99492835998535,3308
468.991756439209,3310
469.9864387512207,3294
470.98493576049805,3290
471.9822406768799,3270
472.9781150817871,3258
473.97589683532715,3226
474.9758243560791,3212
475.94380378723145,3214
476.96924209594727,3220
477.9672622680664,3190
478.96432876586914,3198
479.95948791503906,3182
480.9575080871582,3154
481.92739486694336,3174
482.95140266418457,3158
483.9513301849365,3158
484.94648933410645,3150
485.9437942504883,3162
486.940860748291,3126
487.93911933898926,3150
488.9078140258789,3190
489.90488052368164,3186
490.9021854400635,3174
491.8997287750244,3184
492.89679527282715,3216
493.894100189209,3174
494.8916435241699,3214
495.88918685913086,3198
496.9210624694824,3192
497.9126453399658,3182
498.882532119751,3190
499.9079704284668,3210
500.87714195251465,3206
501.90234184265137,3198
502.8994083404541,3216
503.87001037597656,3246
504.8668384552002,3272
505.86414337158203,3236
506.86168670654297,3256
507.8582763671875,3270
508.85558128356934,3260
509.8540782928467,3260
510.8504295349121,3258
511.84797286987305,3250
512.8448009490967,3250
513.8423442840576,3274
514.8396492004395,3310
515.8369541168213,3282
516.8342590332031,3262
517.8318023681641,3270
518.8288688659668,3262
519.8369026184082,3290
520.8499431610107,3274
521.8474864959717,3238
522.8452682495117,3234
523.8447189331055,3246
524.8408317565918,3246
525.8104801177979,3238
526.8316268920898,3238
527.8048515319824,3222
528.8305282592773,3210
529.827356338501,3246
530.8248996734619,3248
531.810998916626,3238
532.8202247619629,3252
533.8177680969238,3254
534.8138809204102,3258
535.7835292816162,3250
536.7803573608398,3274
537.7774238586426,3278
538.7747287750244,3242
539.8433208465576,3244
540.7702922821045,3250
541.7940616607666,3254
542.7918434143066,3258
543.7889099121094,3252
544.7914600372314,3222
545.7713603973389,3234
546.7550754547119,3254
547.7797985076904,3238
548.776388168335,3248
549.7469902038574,3190
550.757646560669,3226
551.7692565917969,3238
552.7670383453369,3254
553.7638664245605,3250
554.7609329223633,3242
555.7315349578857,3218
556.729793548584,3218
557.7561855316162,3188
558.7260723114014,3186
559.7193241119385,3174
560.718297958374,3154
561.7482662200928,3162
562.7453327178955,3158
563.7445449829102,3130
564.7342205047607,3130
565.7036304473877,3152
566.7011737823486,3158
567.6977634429932,3142
568.6945915222168,3128
569.6916580200195,3150
570.6887245178223,3174
571.6867446899414,3162
572.6969242095947,3170
573.6818313598633,3144
574.6798515319824,3162
575.6826400756836,3190
576.6751766204834,3186
577.6724815368652,3218
578.6681175231934,3212
579.6961784362793,3198
580.6636810302734,3220
581.6612243652344,3258
582.6876163482666,3268
583.6830139160156,3242
584.6517086029053,3222
585.6492519378662,3226
586.646318435669,3246
587.6433849334717,3234
588.6616706848145,3216
589.63942527771,3178
590.6364917755127,3182
591.6659832000732,3196
592.6313400268555,3190
593.6291217803955,3238
594.6533679962158,3180
595.6242084503174,3174
596.6498851776123,3190
597.6474285125732,3190
598.6447334289551,3178
599.6420383453369,3176
600.6405353546143,3214
601.6066074371338,3194
602.6034355163574,3210
603.6009788513184,3194
604.5987606048584,3192
605.5967807769775,3218
606.5940856933594,3238
607.590913772583,3190
608.5891723632812,3174
609.586238861084,3214
610.5830669403076,3230
611.6116046905518,3216
612.6077175140381,3248
613.6043071746826,3250
614.6025657653809,3256
615.5707836151123,3282
616.5680885314941,3306
617.5642013549805,3314
618.5612678527832,3312
619.558572769165,3302
620.556116104126,3318
621.5536594390869,3322
622.5509643554688,3318
623.5482692718506,3340
624.5789527893066,3312
625.5450248718262,3312
626.5428066253662,3322
627.5389194488525,3308
628.570556640625,3314
629.5623779296875,3310
630.5580139160156,3304
631.5553188323975,3346
632.5526237487793,3342
633.5504055023193,3346
634.5202922821045,3386
635.5166435241699,3372
636.5435123443604,3370
637.5458240509033,3358
638.5095119476318,3370
639.5061016082764,3378
640.5031681060791,3382
641.5321826934814,3366
642.4975395202637,3326
643.4969902038574,3294
644.5209980010986,3274
645.4892158508301,3314
646.5163230895996,3278
647.5129127502441,3214
648.5099792480469,3238
649.5072841644287,3222
650.4778861999512,3242
651.4744758605957,3254
652.5013446807861,3246
653.4981727600098,3210
654.4954776763916,3218
655.4629802703857,3226
656.4605236053467,3254
657.4587821960449,3258
658.4863662719727,3238
659.4536304473877,3256
660.4633331298828,3286
661.4744663238525,3246
662.4765396118164,3226
663.4688377380371,3224
664.4692420959473,3222
665.4376983642578,3210
666.4619445800781,3214
667.4554347991943,3212
668.4277057647705,3212
669.4250106811523,3250
670.4223155975342,3254
671.4200973510742,3198
672.417402267456,3234
673.414945602417,3262
674.4136810302734,3294
675.4119396209717,3312
676.408052444458,3314
677.4053573608398,3284
678.4317493438721,3282
679.4288158416748,3342
680.4256439208984,3372
681.4219951629639,3318
682.4202537536621,3304
683.4168434143066,3314
684.3855381011963,3288
685.382604598999,3312
686.3794326782227,3306
687.3767375946045,3246
688.3797645568848,3238
