Time (ms),Mic Value
1.020193099975586,1678
2.019643783569336,2662
3.0205249786376953,3192
4.017829895019531,1578
5.014181137084961,2740
6.014108657836914,3222
7.01141357421875,1954
8.007526397705078,2634
9.004831314086914,3470
10.008096694946289,1910
10.008096694946289,2780
11.416435241699219,3562
12.412548065185547,1946
13.409614562988281,2830
14.40739631652832,3530
15.404462814331055,1906
16.402006149291992,2612
17.399072647094727,3574
18.425703048706055,1910
19.42300796508789,2614
20.424365997314453,3634
21.58045768737793,1904
22.577762603759766,2688
23.577451705932617,3662
24.60193634033203,1874
25.598526000976562,2570
26.595354080200195,3694
27.56476402282715,3858
28.590917587280273,2656
30.21550178527832,3896
30.21550178527832,3890
31.262874603271484,2614
33.20717811584473,1722
33.20717811584473,3854
34.232378005981445,2538
35.234928131103516,1704
37.23478317260742,3806
38.21849822998047,3166
38.21849822998047,1802
40.21883010864258,3830
40.752410888671875,3210
41.78214073181152,1722
42.77849197387695,3338
43.7467098236084,3190
44.77334022521973,1474
45.770883560180664,3270
46.767473220825195,3048
47.766685485839844,1382
48.76303672790527,3194
48.76303672790527,3038
50.390005111694336,1430
51.4218807220459,3254
52.4144172668457,3344
53.40909957885742,1560
54.40688133239746,2804
55.40633201599121,3338
56.40149116516113,1494
57.39855766296387,2790
58.396100997924805,3246
59.393882751464844,1938
60.36877632141113,2866
61.41352653503418,3416
62.40987777709961,1882
63.407182693481445,2838
64.40496444702148,3568
65.40203094482422,1870
66.37048721313477,2958
67.70110130310059,3662
68.67027282714844,1908
68.67027282714844,2666
70.2056884765625,3694
71.27022743225098,1704
72.23916053771973,2630
73.23646545410156,3600
74.26142692565918,1968
75.23012161254883,2768
77.22711563110352,3828
77.22711563110352,1994
79.2236328125,2762
79.2236328125,3730
80.7192325592041,3918
81.71868324279785,2718
82.7176570892334,3930
83.71472358703613,3962
84.71202850341797,2664
85.7093334197998,3888
86.70687675476074,3954
87.70394325256348,2642
88.70172500610352,1774
88.70172500610352,3914
90.2106761932373,3174
91.25494956970215,1822
92.25153923034668,3990
93.24884414672852,3308
94.24686431884766,1818
95.24369239807129,3506
96.23932838439941,3226
97.23877906799316,1802
98.2356071472168,3402
100.22878646850586,3164
100.73661804199219,1580
101.73869132995605,3498
102.73551940917969,3210
103.73258590698242,1562
104.72989082336426,3390
105.72576522827148,3354
106.72593116760254,1606
107.72204399108887,3540
108.72030258178711,3472
108.72030258178711,1710
110.2287769317627,2958
111.2678050994873,3302
112.26296424865723,1530
113.25812339782715,2958
114.2575740814209,3322
115.25464057922363,1946
116.25313758850098,2990
117.24972724914551,3800
118.24679374694824,2042
119.24433708190918,3122
120.24092674255371,3836
121.39630317687988,1964
122.39217758178711,3148
123.39997291564941,3920
124.38726425170898,1994
125.41508674621582,2736
126.38306617736816,4028
127.37798690795898,2144
128.37600708007812,2742
129.37378883361816,4008
130.8765411376953,2154
131.87766075134277,2704
132.87925720214844,3902
133.87608528137207,2150
134.8724365234375,2662
135.86950302124023,3994
136.8710994720459,4112
137.8645896911621,2596
138.86117935180664,4038
138.86117935180664,4222
140.43450355529785,2662
141.43681526184082,1930
142.43292808532715,4238
143.4304714202881,2618
144.42777633666992,1910
145.42508125305176,4208
146.4226245880127,3242
147.41992950439453,1974
148.41771125793457,4222
149.4157314300537,3218
150.41232109069824,1918
151.54027938842773,3694
152.53806114196777,3102
