Time (ms),Mic Value
0.9891986846923828,2550
1.989603042602539,2570
2.9854774475097656,2542
3.9825439453125,2534
4.980802536010742,2570
5.978107452392578,2576
6.97779655456543,2550
7.974147796630859,2526
8.971214294433594,2550
9.968042373657227,2586
10.965824127197266,2538
11.96432113647461,2542
12.959718704223633,2546
13.969659805297852,2542
14.954328536987305,2534
15.951395034790039,2550
16.94798469543457,2546
17.94576644897461,2534
18.944263458251953,2558
19.941091537475586,2586
20.941972732543945,2582
21.93617820739746,2550
22.94754981994629,2554
23.96106719970703,2538
24.92833137512207,2570
25.9249210357666,2552
26.923418045043945,2486
27.951955795288086,2474
28.917312622070312,2502
29.913902282714844,2514
30.910730361938477,2514
31.90779685974121,2534
32.90534019470215,2536
33.90359878540039,2542
34.90185737609863,2576
35.89987754821777,2606
36.8952751159668,2550
37.89234161376953,2548
38.92040252685547,2546
39.917707443237305,2550
40.91191291809082,2514
41.909217834472656,2506
42.88029670715332,2508
43.87688636779785,2542
44.875383377075195,2532
45.87197303771973,2550
46.89788818359375,2574
47.8665828704834,2614
48.86364936828613,2570
49.860477447509766,2534
50.86112022399902,2534
51.85890197753906,2516
52.85477638244629,2514
53.85160446166992,2522
54.84890937805176,2486
55.84836006164551,2494
56.84638023376465,2548
57.839393615722656,2598
58.86435508728027,2542
59.86142158508301,2574
60.86158752441406,2578
61.85626983642578,2550
62.854766845703125,2542
63.82417678833008,2582
64.83125686645508,2522
65.82355499267578,2490
66.81561470031738,2506
67.81220436096191,2540
68.81070137023926,2538
69.8087215423584,2526
71.8846321105957,2554
71.8846321105957,2556
72.80802726745605,2588
74.03373718261719,2602
74.97239112854004,2576
75.48117637634277,2518
76.48062705993652,2582
77.47793197631836,2550
78.47476005554199,2526
79.47230339050293,2534
80.46960830688477,2550
81.46905899047852,2596
82.49354362487793,2550
83.49084854125977,2580
84.45978164672852,2578
85.4642391204834,2598
86.45796775817871,2634
87.45217323303223,2630
88.44995498657227,2558
89.4465446472168,2546
90.44408798217773,2602
91.44854545593262,2606
92.43893623352051,2582
93.43624114990234,2550
94.43354606628418,2610
95.43323516845703,2594
96.43101692199707,2584
97.4280834197998,2578
98.42205047607422,2582
99.41983222961426,2554
100.4171371459961,2582
101.41420364379883,2572
102.41174697875977,2554
103.4090518951416,2542
104.40850257873535,2558
105.40509223937988,2570
106.40144348144531,2558
107.39850997924805,2574
108.3979606628418,2552
109.39502716064453,2550
110.39161682128906,2526
111.3889217376709,2558
112.41555213928223,2554
113.38400840759277,2534
114.40920829772949,2556
115.37814140319824,2586
116.37377738952637,2608
117.37227439880371,2568
118.36910247802734,2600
119.36616897583008,2606
120.36395072937012,2550
121.37508392333984,2542
122.35856056213379,2582
123.35586547851562,2554
124.35412406921387,2598
125.3507137298584,2582
126.35064125061035,2554
127.34580039978027,2598
128.34429740905762,2590
129.3506622314453,2634
130.36656379699707,2642
131.33597373962402,2642
132.35950469970703,2594
133.35609436035156,2572
134.32669639587402,2590
135.32328605651855,2548
136.3215446472168,2550
137.31837272644043,2552
138.31615447998047,2570
139.3132209777832,2548
140.31028747558594,2594
