x,y,t
0.0500000000,-3.0000000000,0.0000024291
0.0500000000,-2.9500000000,0.0000024703
0.0500000000,-2.9000000000,0.0000025129
0.0500000000,-2.8500000000,0.0000025569
0.0500000000,-2.8000000000,0.0000026026
0.0500000000,-2.7500000000,0.0000026499
0.0500000000,-2.7000000000,0.0000026989
0.0500000000,-2.6500000000,0.0000027498
0.0500000000,-2.6000000000,0.0000028027
0.0500000000,-2.5500000000,0.0000028576
0.0500000000,-2.5000000000,0.0000029147
0.0500000000,-2.4500000000,0.0000029742
0.0500000000,-2.4000000000,0.0000030361
0.0500000000,-2.3500000000,0.0000031007
0.0500000000,-2.3000000000,0.0000031680
0.0500000000,-2.2500000000,0.0000032384
0.0500000000,-2.2000000000,0.0000033119
0.0500000000,-2.1500000000,0.0000033889
0.0500000000,-2.1000000000,0.0000034695
0.0500000000,-2.0500000000,0.0000035541
0.0500000000,-2.0000000000,0.0000036429
0.0500000000,-1.9500000000,0.0000037362
0.0500000000,-1.9000000000,0.0000038345
0.0500000000,-1.8500000000,0.0000039380
0.0500000000,-1.8000000000,0.0000040473
0.0500000000,-1.7500000000,0.0000041628
0.0500000000,-1.7000000000,0.0000042851
0.0500000000,-1.6500000000,0.0000044148
0.0500000000,-1.6000000000,0.0000045526
0.0500000000,-1.5500000000,0.0000046993
0.0500000000,-1.5000000000,0.0000048557
0.0500000000,-1.4500000000,0.0000050229
0.0500000000,-1.4000000000,0.0000052020
0.0500000000,-1.3500000000,0.0000053944
0.0500000000,-1.3000000000,0.0000056015
0.0500000000,-1.2500000000,0.0000058251
0.0500000000,-1.2000000000,0.0000060673
0.0500000000,-1.1500000000,0.0000063305
0.0500000000,-1.1000000000,0.0000066175
0.0500000000,-1.0500000000,0.0000069317
0.0500000000,-1.0000000000,0.0000072773
0.0500000000,-0.9500000000,0.0000076590
0.0500000000,-0.9000000000,0.0000080829
0.0500000000,-0.8500000000,0.0000085564
0.0500000000,-0.8000000000,0.0000090886
0.0500000000,-0.7500000000,0.0000096913
0.0500000000,-0.7000000000,0.0000103793
0.0500000000,-0.6500000000,0.0000111721
0.0500000000,-0.6000000000,0.0000120954
0.0500000000,-0.5500000000,0.0000131842
0.0500000000,-0.5000000000,0.0000144872
0.0500000000,-0.4500000000,0.0000160737
0.0500000000,-0.4000000000,0.0000180467
0.0500000000,-0.3500000000,0.0000205650
