radius_m,distance_m,fs_hz,theta_deg,actual_rounding_shift_deg,corner_bound_deg,disk_bound_deg,linear_bound_deg,rho_over_u
0.025,0.5,16000,-179.87,0.845299922822278,29.96574266950745,34.8725156505819,32.75543362394181,0.571752387020258
0.025,0.5,16000,-179.37,1.3446945174780467,30.15103132800482,34.85945733712429,32.739265837928684,0.5715653883660001
0.025,0.5,16000,-178.87,1.843600101153811,30.361537819134327,34.84642510467426,32.7206439302566,0.5713787335989021
0.025,0.5,16000,-178.37,2.342017898632662,30.56492997393707,34.83342780297024,32.69958544918375,0.5711925496869869
0.025,0.5,16000,-177.87,2.8399494648167547,30.761358506171604,34.82047422794357,32.676108015531675,0.5710069629067019
0.025,0.5,16000,-177.37,3.3373966823889987,30.950972493280744,34.807573116092264,32.65022930256759,0.5708220987610199
0.025,0.5,16000,-176.87,3.8343617592661303,31.133919229635808,34.79473313896979,32.62196701620355,0.5706380818989848
0.025,0.5,16000,-176.37,4.330847225850221,31.31034409584086,34.781962897795836,32.59133887553637,0.570455036036814
0.025,0.5,16000,-175.87,4.826855932088392,31.48039044303445,34.76927091819064,32.558362593746864,0.5702730838805822
0.025,0.5,16000,-175.37,5.322391044337792,31.644199491161572,34.75666564503065,32.523055859373216,0.5700923470504635
0.025,0.5,16000,-174.87,5.817456042049685,31.8019102402489,34.74415543743142,32.48543631797908,0.5699129460066263
0.025,0.5,16000,-174.37,6.312054714269834,31.95365939374568,34.73174856385515,32.445521554229515,0.569734999976748
0.025,0.5,16000,-173.87,6.806191155967781,32.099581293050676,34.71945319734528,32.403329074390534,0.5695586268851953
0.025,0.5,16000,-173.37,7.299869764191953,32.23980786237965,34.70727741088681,32.35887628926526,0.5693839432838581
0.025,0.5,16000,-172.87,7.7930952340667545,32.37446856318846,34.69522917289591,32.312180497581814,0.569211064284698
0.025,0.5,16000,-172.37,21.71412744537622,32.50369035739138,34.683316342834416,32.26325886984165,0.5690401034939565
0.025,0.5,16000,-171.87,21.221792995515784,32.62759767867618,34.67154666695264,32.21212843264209,0.5688711729480804
0.025,0.5,16000,-171.37,20.72989585260939,32.74631241124894,34.659927774159016,32.15880605348256,0.5687043830513556
0.025,0.5,16000,-170.87,20.23843017240668,32.85995387538159,34.64846717201388,32.103308426062085,0.5685398425152157
0.025,0.5,16000,-170.37,19.747389834898343,32.96863881918526,34.637172242851385,32.04565205608,0.5683776582992961
0.025,0.5,16000,-169.87,19.256768449201417,33.07248141605521,34.62605024002332,31.985853247543833,0.5682179355541518
0.025,0.5,16000,-169.37,18.76655935857235,33.17159326728151,34.61510828426761,31.92392808959358,0.5680607775656884
0.025,0.5,16000,-168.87,18.276755645544768,33.2660834093482,34.60435336019828,31.859892443847503,0.5679062857012712
0.025,0.5,16000,-168.37,17.787350137184433,33.356058325478955,34.593792312917806,31.793761932275874,0.5677545593575338
0.025,0.5,16000,-167.87,17.298335410461732,33.441621961014164,34.58343184474675,31.725551925604982,0.5676056959098229
0.025,0.5,16000,-167.37,16.809703797730123,33.52287574224141,34.5732785120737,31.65527753225854,0.5674597906633336
0.025,0.5,16000,-166.87,16.321447392314298,33.599918598320414,34.563338722319486,31.58295358783647,0.5673169368058559
0.025,0.5,16000,-166.37,15.833558054195606,33.67284698597817,34.553618731017856,31.50859464513669,0.5671772253621749
0.025,0.5,16000,-165.87,15.346027415795902,33.74175491666725,34.544124639007755,31.432214964719712,0.5670407451500636
0.025,0.5,16000,-165.37,14.85884688785356,33.80673398591043,34.534862389737725,31.353828506019163,0.566907582737886
0.025,0.5,16000,-164.87,14.372007665385667,33.86787340457039,34.52583776667867,31.273448918997712,0.5667778224037627
0.025,0.5,16000,-164.37,13.885500733737587,33.92526003180848,34.51705639084446,31.191089536350358,0.5666515460963045
0.025,0.5,16000,-163.87,13.399316874711133,33.97897840951208,34.50852371841673,31.106763366253396,0.5665288333968665
0.025,0.5,16000,-163.37,12.91344667276627,34.029110797993866,34.50024503847493,31.020483085660338,0.566409761483349
0.025,0.5,16000,-162.87,12.427880521300864,34.07573721277208,34.49222547082552,30.932261034142435,0.5662944050954647
0.025,0.5,16000,-162.37,11.942608628993867,34.11893546226992,34.48446996393164,30.842109208272767,0.5661828365014996
0.025,0.5,16000,-161.87,11.457621026217879,34.15878118627586,34.47698329293945,30.750039256552977,0.5660751254665208
0.025,0.5,16000,-161.37,10.972907571511143,34.19534789502501,34.4697700577992,30.65606247487898,0.5659713392220109
0.025,0.5,16000,-160.87,10.488457958109137,34.228707008776524,34.46283468148136,30.560189802546134,0.5658715424369419
0.025,0.5,16000,-160.37,10.00426172053119,34.2589278977639,34.456181408280386,30.462431818786463,0.5657757971901878
0.025,0.5,16000,-159.87,9.520308241218885,34.286077922420134,34.44981430221088,30.362798739840187,0.5656841629443522
0.025,0.5,16000,-159.37,9.03658675722454,34.310222473776776,34.44373724548957,30.26130041655509,0.5655966965209233
0.025,0.5,16000,-158.87,8.553086366944797,34.3314250139515,34.43795393710217,30.157946332510473,0.5655134520767474
0.025,0.5,16000,-158.37,8.069796036898367,34.34974711664711,34.43246789145462,30.052745602663464,0.5654344810818226
0.025,0.5,16000,-157.87,7.586704608542817,34.36524850759133,34.42728243710557,29.945706972512212,0.5653598322983706
0.025,0.5,16000,-157.37,7.103800805131499,34.377987104852934,34.42240071557836,29.83683881777276,0.5652895517611696
0.025,0.5,16000,-156.87,6.621073238603515,34.388019058979864,34.41782568025178,29.726149144565056,0.5652236827591404
0.025,0.5,16000,-156.37,6.138510416507671,34.39539879290922,34.41356009532774,29.613645590104227,0.5651622658181678
0.025,0.5,16000,-155.87,5.656100748955112,34.40017904160186,34.409606534873014,29.49933542389082,0.5651053386851158
0.025,0.5,16000,-155.37,5.173832555603241,34.40241089136583,34.405967381936016,29.383225549398674,0.5650529363130609
0.025,0.5,16000,-154.87,4.691694072659686,34.402143818830865,34.402644827734385,29.26532250625096,0.5650050908476809
0.025,0.5,16000,-154.37,4.209673459915706,34.39942572954601,34.39964087091484,29.145632472884508,0.5649618316148294
0.025,0.5,16000,-153.87,3.7277588077955386,34.39430299617277,34.39695731688268,29.024161269693543,0.5649231851092563
0.025,0.5,16000,-153.37,3.2459381444277824,34.38682049625103,34.39459577719917,28.900914362649527,0.564889174984458
0.025,0.5,16000,-152.87,2.7641994427326892,34.377021649519236,34.39255766904774,28.775896867391793,0.5648598220436677
0.025,0.5,16000,-152.37,2.2825306275238972,34.36494845477165,34.39084421476667,28.649113553783426,0.5648351442319601
0.025,0.5,16000,-151.87,1.8009195826232371,34.350641526239315,34.389456441447706,28.52056885092699,0.5648151566294602
0.025,0.5,16000,-151.37,1.3193541579879309,34.33414012948387,34.388395180600355,28.39026685263539,0.5647998714456585
0.025,0.5,16000,-150.87,0.8378221768435594,34.315482216794464,34.387661067880614,28.258211323350864,0.5647892980148128
0.025,0.5,16000,-150.37,0.3563114428268932,34.29470446208222,34.38725454288461,28.124405704508717,0.5647834427924481
0.025,0.5,16000,-149.87,0.12519025286766805,34.283988621874414,34.38717584900642,28.059558305202106,0.5647823093529416
0.025,0.5,16000,-149.37,0.6066951243375343,34.3057712407591,34.3874250333578,28.194202837753227,0.5647858983881646
0.025,0.5,16000,-148.87,1.0882153838212503,34.32545117713488,34.388001946754486,28.32709881988418,0.5647942077072453
0.025,0.5,16000,-148.37,1.569763234546258,34.34299235846663,34.38890624376354,28.458242962813916,0.5648072322373753
0.025,0.5,16000,-147.87,2.0513508635812343,34.358357450410324,34.3901373828159,28.587631657964753,0.5648249640257184
0.025,0.5,16000,-147.37,2.5329904346914134,34.371507822161675,34.391694626381636,28.715260970387817,0.564847392242386
0.025,0.5,16000,-146.87,3.0146940811994796,34.38240351130014,34.39357704121076,28.841126632630168,0.5648745031845182
0.025,0.5,16000,-146.37,3.496473898856749,34.391003188132515,34.39578349863721,28.965224039047804,0.5649062802814355
0.025,0.5,16000,-145.87,3.9783419387210586,34.39726411954439,34.39831267494929,29.0875482405712,0.5649427041009083
0.025,0.5,16000,-145.37,4.460310200049605,34.401142132369586,34.40116305182408,29.20809393992729,0.5649837523565034
0.025,0.5,16000,-144.87,4.9423906232032095,34.40259157629157,34.404332916830846,29.326855487325844,0.5650293999160819
0.025,0.5,16000,-144.37,5.424595082568288,34.401565286287735,34.4078203639992,29.443826876612246,0.5650796188113809
0.025,0.5,16000,-143.87,5.906935379495849,34.39801454463978,34.41162329445735,29.55900174189483,0.5651343782487565
0.025,0.5,16000,-143.37,6.389423235259983,34.39188904252683,34.41573941713889,29.67237335464986,0.5651936446210601
0.025,0.5,16000,-142.87,6.872070284040689,34.38313684122804,34.42016624955992,29.78393462131043,0.5652573815206732
0.025,0.5,16000,-142.37,7.354888065928407,34.37170433296325,34.424901118668565,29.89367808134365,0.5653255497537226
0.025,0.5,16000,-141.87,7.837888019957774,34.35753620140244,34.42994116176669,30.001595905821134,0.5653981073554751
0.025,0.5,16000,-141.37,8.321081477168121,34.3405753818827,34.43528332750638,30.107679896487113,0.5654750096069379
0.025,0.5,16000,-140.87,8.80447965369774,34.320763021374916,34.44092437696298,30.211921485330276,0.5655562090526913
0.025,0.5,16000,-140.37,9.288093643910258,34.29803843824479,34.44686088478378,30.31431173466089,0.5656416555199333
0.025,0.5,16000,-139.87,9.771934413559393,34.27233908186608,34.453089240418265,30.414841337701517,0.565731296138815
0.025,0.5,16000,-139.37,10.256012792990163,34.2436004921409,34.45960564942668,30.513500619691058,0.5658250753640178
0.025,0.5,16000,-138.87,10.740339470385635,34.21175625899858,34.4664061348736,30.610279539510792,0.5659229349976602
0.025,0.5,16000,-138.37,11.224924985055253,34.17673798194221,34.47348653880361,30.705167691831434,0.5660248142134868
0.025,0.5,16000,-137.87,11.70977972077256,34.138475229730375,34.48084252380503,30.79815430978908,0.5661306495824213
0.025,0.5,16000,-137.37,12.194913899163623,34.09689550028128,34.488469574660776,30.889228268190447,0.56624037509946
0.025,0.5,16000,-136.87,12.680337573147597,34.0519241809026,34.49636300008998,30.97837808725187,0.5663539222119536
0.025,0.5,16000,-136.37,13.166060620436497,34.003484508957314,34.50451793458138,31.06559193687478,0.5664712198492841
0.025,0.5,16000,-135.87,13.652092737093398,33.951497533087604,34.51292934032072,31.150857641459453,0.566592194453962
0.025,0.5,16000,-135.37,14.138443431155878,33.8958820751331,34.52159200921516,31.23416268526086,0.5667167700141786
0.025,0.5,16000,-134.87,14.62512201632498,33.83655469288814,34.5305005650149,31.315494218286453,0.566844868097809
0.025,0.5,16000,-134.37,15.11213760572636,33.77342964386176,34.53964946553539,31.39483906273888,0.5669764078879066
0.025,0.5,16000,-133.87,15.599499105744712,33.70641885021681,34.54903300498235,31.472183720004626,0.5671113062197121
0.025,0.5,16000,-133.37,16.087215209937398,33.63543186507928,34.55864531638032,31.547514378188467,0.5672494776191797
0.025,0.5,16000,-132.87,16.57529439302948,33.56037584042929,34.568480374108056,31.620816920194983,0.567390834343058
0.025,0.5,16000,-132.37,17.063744904995644,33.481155496801904,34.57853199654185,31.692076932356237,0.5675352864205351
0.025,0.5,16000,-131.87,17.55257476523235,33.39767309504535,34.58879384880918,31.76127971360537,0.5676827416964698
0.025,0.5,16000,-131.37,18.041791756822363,33.30982841040782,34.599259445654376,31.828410285194316,0.5678331058762273
0.025,0.5,16000,-130.87,18.531403420902706,33.217518709242455,34.60992215441805,31.893453400954993,0.567986282572133
0.025,0.5,16000,-130.37,19.021417051130044,33.120638728650334,34.62077519813252,31.956393558100043,0.5681421733515688
0.025,0.5,16000,-129.87,19.51183968825916,33.0190806593983,34.63181165873385,32.017215008561635,0.5683006777867089
0.025,0.5,16000,-129.37,20.002678114828626,32.9127341324853,34.64302448039277,32.075901770862984,0.5684616935059216
0.025,0.5,16000,-128.87,20.493938849968004,32.801486209752085,34.65440647296674,32.132437642520905,0.5686251162468565
0.025,0.5,16000,-128.37,20.985628144323357,32.6852213789619,34.66595031557204,32.18680621297093,0.568790839911193
0.025,0.5,16000,-127.87,21.47775197511072,32.56382155381482,34.67764856028053,32.238990877012945,0.568958756621108
0.025,0.5,16000,-127.37,21.97031604130123,32.437166079385634,34.68949363593842,32.288974848767424,0.5691287567774126
0.025,0.5,16000,-126.87,7.536674241060041,32.30513174351864,34.70147785211206,32.33674117613809,0.5693007291194223
0.025,0.5,16000,-126.37,7.043213743389515,32.16759279474027,34.713593403157326,32.382272755770224,0.5694745607865007
0.025,0.5,16000,-125.87,6.5492976289583,32.024420967299534,34.7258323724171,32.42555234849803,0.5696501373813322
0.025,0.5,16000,-125.37,6.054921357131207,31.875485513975377,34.73818673654391,32.466562595269046,0.5698273430348719
0.025,0.5,16000,-124.87,5.5600806874512045,31.720653247342938,34.75064836995139,32.50528603353748,0.570006060473017
0.025,0.5,16000,-124.37,5.064771683560338,31.55978859022207,34.76320904939148,32.54170511411239,0.5701861710849441
0.025,0.5,16000,-123.87,4.568990716954545,31.39275363608519,34.77586045865956,32.57580221845039,0.570367554993138
0.025,0.5,16000,-123.37,4.072734470566331,31.219408220238876,34.788594193425496,32.607559676377626,0.5705500911250718
0.025,0.5,16000,-122.87,3.5759999421687496,31.039610002644906,34.80140176619218,32.63695978422883,0.5707336572865543
0.025,0.5,16000,-122.37,3.0787844475994177,30.85321456328711,34.81427461137793,32.663984823385746,0.5709181302366829
0.025,0.5,16000,-121.87,2.58108562379374,30.660075511039253,34.82720409052439,32.68861707920059,0.5711033857644189
0.025,0.5,16000,-121.37,2.0829014316261123,30.46004460703199,34.840181497626695,32.710838860286124,0.5712892987667314
0.025,0.5,16000,-120.87,1.5842301585549308,30.252971903564543,34.853198064586245,32.730632518155105,0.571475743328306
0.025,0.5,16000,-120.37,1.0850704210607773,30.03870589964157,34.866244966782155,32.74798046718859,0.5716625928027573
0.025,0.5,16000,-119.87,0.5854211668790299,29.90667465101376,34.879313328760844,32.762865204913915,0.5718497198953301
0.025,0.5,16000,-119.37,0.08528167701933853,29.792165873356026,34.892394230041695,32.77526933257123,0.572036996747053
0.025,0.5,16000,-118.87,0.4153484324355645,29.881362657367617,34.90547871103362,32.78517557594466,0.5722242950202682
0.025,0.5,16000,-118.37,0.9164692087508115,30.02312701616927,34.91855777906386,32.792566806437996,0.5724114859855465
0.025,0.5,16000,-117.87,1.4180803611904764,30.272708807375153,34.931622414510656,32.79742606236703,0.5725984406098705
0.025,0.5,16000,-117.37,1.9201812598982997,30.51529514270169,34.944663577042,32.79973657044755,0.5727850296461059
0.025,0.5,16000,-116.87,2.4227709350169846,30.750951999392385,34.9576722119505,32.7994817674486,0.5729711237236221
0.025,0.5,16000,-116.37,2.925848076047714,30.979746737589295,34.970639256585926,32.79664532198814,0.5731565934400776
0.025,0.5,16000,-115.87,3.4294110314537534,31.201747971657085,34.9835556468769,32.7912111564405,0.5733413094542489
0.025,0.5,16000,-115.37,3.9334578085135377,31.417025448170364,34.996412323939424,32.7831634689284,0.5735251425798659
0.025,0.5,16000,-114.87,4.437986073426572,31.625649930370457,35.009200240765665,32.77248675536948,0.5737079638803629
0.025,0.5,16000,-114.37,4.942993151675239,31.827693088892318,35.021910368988685,32.75916583154728,0.5738896447644799
0.025,0.5,16000,-113.87,5.448476028645359,32.023227398550034,35.03453370571727,32.74318585517611,0.5740700570826336
0.025,0.5,16000,-113.37,5.9544313505102195,32.2123260409673,35.04706128043419,32.724532347927116,0.5742490732239645
0.025,0.5,16000,-112.87,6.460855425380146,32.395062812830844,35.05948416195225,32.70319121738417,0.5744265662139815
0.025,0.5,16000,-112.37,6.96774422471924,32.57151203954794,35.07179346542259,32.67914877889708,0.5746024098127265
0.025,0.5,16000,-111.87,7.475093385033489,32.74174849407916,35.083980359385286,32.65239177729656,0.5747764786133239
0.025,0.5,16000,-111.37,7.98289820983004,32.90584732072804,35.0960360728592,32.62290740844005,0.5749486481408715
0.025,0.5,16000,-110.87,8.49115367185314,33.06388396366202,35.107951902460584,32.59068334055174,0.5751187949515337
0.025,0.5,16000,-110.37,8.999854415592779,33.215934099944775,35.11971921954444,32.55570773532353,0.5752867967317519
0.025,0.5,16000,-109.87,9.508994760072426,33.36207357686362,35.13132947736002,32.51796926874118,0.5754525323974597
0.025,0.5,16000,-109.37,10.018568701914432,33.502378353336866,35.14277421821191,32.47745715160048,0.5756158821931882
0.025,0.5,16000,-108.87,10.52856991868228,33.63692444519478,35.15404508062103,32.43416114968025,0.5757767277909844
0.025,0.5,16000,-108.37,11.038991772502868,33.76578787412666,35.16513380647257,32.38807160353326,0.5759349523889734
0.025,0.5,16000,-107.87,11.549827313966574,33.88904462009725,35.17603224814574,32.33917944786305,0.5760904408094947
0.025,0.5,16000,-107.37,12.061069286304473,34.006770577041294,35.186732375615975,32.28747623045084,0.5762430795966922
0.025,0.5,16000,-106.87,12.572710129843472,34.11904151164475,35.19722628351786,32.23295413059582,0.5763927571134024
0.025,0.5,16000,-106.37,13.084741986736049,34.22593302503759,35.207506198162925,32.17560597703683,0.576539363637266
0.025,0.5,16000,-105.87,16.402843294035563,34.32752051722048,35.21756448450072,32.11542526531947,0.5766827914559121
0.025,0.5,16000,-105.37,15.890054151383822,34.4238791540605,35.22739365301474,32.05240617457576,0.5768229349611057
0.025,0.5,16000,-104.87,15.376899306569129,34.51508383669358,35.23698636654265,31.986543583682174,0.5769596907417239
0.025,0.5,16000,-104.37,14.863387757390058,34.60120917318312,35.246335447013706,31.917833086766187,0.5770929576754689
0.025,0.5,16000,-103.87,14.349528772106652,34.68232945228155,35.25543388208834,31.846271008024523,0.5772226370191212
0.025,0.5,16000,-103.37,13.835331883105908,34.75851861916357,35.26427483169812,31.77185441582897,0.5773486324973207
0.025,0.5,16000,-102.87,13.32080688031138,34.82985025298922,35.2728516344686,31.694581136083574,0.5774708503896401
0.025,0.5,16000,-102.37,12.805963804341104,34.89639754617383,35.2811578140199,31.614449764807567,0.5775891996158928
0.025,0.5,16000,-101.87,12.290812939419538,34.95823328524466,35.28918708513495,31.531459679916104,0.5777035918195483
0.025,0.5,16000,-101.37,11.775364806048117,35.01542983316841,35.2969333597851,31.445611052171444,0.577813941449121
0.025,0.5,16000,-100.87,11.259630153440668,35.068059113041045,35.30439075300259,31.356904855278316,0.5779201658373998
0.025,0.5,16000,-100.37,10.743619951728363,35.11619259303956,35.311553588592936,31.265342875101446,0.5780221852784349
0.025,0.5,16000,-99.87,10.227345383943032,35.159901272539315,35.318416404677166,31.170927717981986,0.5781199231021533
0.025,0.5,16000,-99.37,9.710817837783054,35.199255669304705,35.32497395905411,31.073662818131137,0.5782133057464799
0.025,0.5,16000,-98.87,9.194048897169637,35.23432580766854,35.331221234373764,30.97355244408119,0.5783022628268478
0.025,0.5,16000,-98.37,8.677050333603688,35.26518120762296,35.33715344311635,30.870601704179474,0.5783867272030433
0.025,0.5,16000,-97.87,8.159834097325472,35.291890874742535,35.34276603236365,30.764816551103905,0.5784666350431998
0.025,0.5,16000,-97.37,7.642412308292194,35.31452329087338,35.34805468835896,30.65620378539082,0.5785419258849119
0.025,0.5,16000,-96.87,7.124797246975845,35.33314640552223,35.35301534084584,30.5447710579598,0.5786125426933375
0.025,0.5,16000,-96.37,6.607001344993876,35.34782762788345,35.3576441671783,30.430526871625855,0.5786784319161986
0.025,0.5,16000,-95.87,6.089037175581467,35.35863381945015,35.36193759619634,30.31348058159105,0.5787395435356091
0.025,0.5,16000,-95.37,5.570917443912776,35.365631287154486,35.365892311858524,30.193642394907503,0.5787958311166203
0.025,0.5,16000,-94.87,5.052654977283311,35.368885776991135,35.369505256626546,30.07102336890854,0.5788472518524256
0.025,0.5,16000,-94.37,4.534262715162043,35.36846246807934,35.37277363459651,29.94563540860595,0.5788937666061621
0.025,0.5,16000,-93.87,4.015753699123422,35.36442596712021,35.375694914368395,29.817491263050478,0.5789353399491941
0.025,0.5,16000,-93.37,3.4971410626712895,35.35684030321471,35.37826683165181,29.68660452066022,0.5789719401958661
0.025,0.5,16000,-92.87,2.9784380209626136,35.34576892300632,35.380487391601655,29.552989603518398,0.5790035394346381
0.025,0.5,16000,-92.37,2.459657860444594,35.331274686117894,35.38235487088026,29.41666176064799,0.5790301135555672
0.025,0.5,16000,-91.87,1.9408139284142862,35.31341986085363,35.38386781944171,29.27763706026996,0.5790516422740776
0.025,0.5,16000,-91.37,1.4219196225132862,35.29226612014142,35.38502506203594,29.13593238105638,0.5790681091509937
0.025,0.5,16000,-90.87,0.9029883801668177,35.26787453769094,35.38582569942821,28.99156540238852,0.5790795016087777
0.025,0.5,16000,-90.37,0.38403366798104344,35.24030558434828,35.386269109333824,28.84455459363649,0.5790858109439732
0.025,0.5,16000,-89.87,0.13493102889216857,35.22596148597427,35.386354947066366,28.77305593934278,0.5790870323358354
0.025,0.5,16000,-89.37,0.6538922174102595,35.25503427601052,35.38608314589503,28.92132899720827,0.5790831648510865
0.025,0.5,16000,-88.87,1.1728364073028388,35.28095850599948,35.385453917114596,29.06696736749701,0.5790742114448474
0.025,0.5,16000,-88.37,1.691750121733378,35.30367399571105,35.38446774982557,29.20995220573555,0.5790601789577111
0.025,0.5,16000,-87.87,2.210619907944249,35.3231199603666,35.38312541042566,29.350265451950325,0.5790410781089743
0.025,0.5,16000,-87.37,2.7294323478769797,35.33923501419602,35.38142794181232,29.48788984185251,0.5790169234860204
0.025,0.5,16000,-86.87,3.248174068754281,35.351957174183156,35.37937666229969,29.622808917051383,0.5789877335299001
0.025,0.5,16000,-86.37,3.766831753613701,35.361223864016836,35.376973164250685,29.755007034280467,0.5789535305171141
0.025,0.5,16000,-85.87,4.285392151780911,35.36697191827142,35.3742193124276,29.88446937362368,0.5789143405376442
0.025,0.5,16000,-85.37,4.8038420892701765,35.36913758683795,35.37111724206162,30.01118194572869,0.5788701934692296
0.025,0.5,16000,-84.87,5.322168479104732,35.36765653963715,35.367669356648584,30.1351315980017,0.5788211229479878
0.025,0.5,16000,-84.37,5.840358331541438,35.36246387164226,35.36387832547298,30.256306019774684,0.5787671663354012
0.025,0.5,16000,-83.87,6.3583987641926,35.35349410824281,35.3597470808631,30.37469374643985,0.5787083646817008
0.025,0.5,16000,-83.37,6.8762770120322045,35.340681210988805,35.35527881518587,30.490284162550683,0.5786447626857618
0.025,0.5,16000,-82.87,7.393980437277747,35.32395858375099,35.350476977582396,30.60306750388652,0.5785764086515119
0.025,0.5,16000,-82.37,7.911496539136635,35.30325907934366,35.345345270454665,30.713034858485017,0.5785033544409951
0.025,0.5,16000,-81.87,8.428812963407779,35.278515006651446,35.33988764570416,30.820178166642364,0.5784256554240844
0.025,0.5,16000,-81.37,8.945917511928144,35.24965813831821,35.33410830073586,30.924490219891926,0.5783433704250294
0.025,0.5,16000,-80.87,9.462798151855736,35.21661971904058,35.32801167422526,31.0259646589618,0.5782565616657865
0.025,0.5,16000,-80.37,9.979443024779982,35.17933047453869,35.32160244166666,31.124595970729544,0.5781652947063841
0.025,0.5,16000,-79.87,10.495840455651063,35.137720621254516,35.31488551070014,31.220379484177304,0.5780696383822652
0.025,0.5,16000,-79.37,11.011978961516576,35.091719876853375,35.307866016231955,31.313311365366047,0.5779696647388112
