group,frames_averaged,first_N_rmse_deg,all_blocks_rmse_deg,first_N_estimates,all_block_estimates
low,1,1.735659791461738,1.5972629070703603,180,23040
low,2,1.319947940312759,1.272075047364617,180,11520
low,4,1.0362327492142176,1.0696141602265297,180,5760
low,8,0.9387469887058031,0.9574354683089262,180,2880
low,16,0.9238426733960163,0.8972994939400805,180,1440
low,32,0.8833180214168004,0.8647471693951644,180,720
low,64,0.8381116715419208,0.8438152705583009,180,360
low,128,0.8351997273908767,0.8351997273908767,180,180
high,1,35.33887308864418,39.04379753200034,180,23040
high,2,32.05636889587527,31.741029615999317,180,11520
high,4,22.695319444056555,24.00722050608812,180,5760
high,8,14.18365775148605,18.380135965245774,180,2880
high,16,13.345829159491084,13.657100004398412,180,1440
high,32,10.816052174660188,11.374137451023707,180,720
high,64,10.059870750923254,10.621274957910678,180,360
high,128,10.158318621503364,10.158318621503364,180,180
