group,contrast,first_frames,metric,estimate,ci_low,ci_high
all,rounding_direct,32,signed_deg,-1.6575458761757191,-1.6593620045380362,-1.655730509107511
all,rounding_direct,32,squared_deg2,4.43776614960813,4.379675433824504,4.493457385267199
all,rounding_reflected,32,signed_deg,-2.091359503459841,-2.405116742942221,-1.7795980552178532
all,rounding_reflected,32,squared_deg2,41.44841141798171,11.973499534745034,70.57087113301804
all,onset_reflected,1,signed_deg,-0.3611593948512214,-3.0262726457991254,2.4369929635623855
all,onset_reflected,4,signed_deg,0.7498944592867051,-0.5082635897369536,1.9276330556674737
all,onset_reflected,32,signed_deg,0.03308175261475361,-0.15126568427079465,0.20547983134312317
all,onset_reflected,1,squared_deg2,-895.160139227466,-1212.5316006314627,-594.1448850487994
all,onset_reflected,4,squared_deg2,-359.63730066468133,-497.4816388545156,-219.97442902612005
all,onset_reflected,32,squared_deg2,-42.797992648394235,-62.40413673131705,-22.983037486610844
all,reflections_fractional,32,signed_deg,0.9003545610530981,0.46772940063723895,1.302232445412145
all,reflections_fractional,32,squared_deg2,747.9696494398388,699.5216762538068,799.8085692410185
low,rounding_direct,32,signed_deg,-1.656276652387311,-1.6588701866369968,-1.6538664320858847
low,rounding_direct,32,squared_deg2,4.458042687390293,4.384204816501992,4.530278087234811
low,rounding_reflected,32,signed_deg,-1.6594444604650613,-1.6652522974037298,-1.65339571402463
low,rounding_reflected,32,squared_deg2,4.560366532463531,4.435056513229195,4.691761023989635
low,onset_reflected,1,signed_deg,-0.01558653427513974,-0.1282171800120605,0.0937792083190463
low,onset_reflected,4,signed_deg,-0.00445610738105889,-0.03149788412459345,0.025096447584252217
low,onset_reflected,32,signed_deg,-0.0005572315530653121,-0.004158032954492707,0.0030181718381819067
low,onset_reflected,1,squared_deg2,-0.6604723863466366,-1.048050626314466,-0.30571591054769365
low,onset_reflected,4,squared_deg2,-0.16089238578153017,-0.260730106383371,-0.06459581772541874
low,onset_reflected,32,squared_deg2,-0.020111084034468225,-0.03320221629606294,-0.008643509744387915
low,reflections_fractional,32,signed_deg,-0.11859490543556378,-0.14400932170397504,-0.0950124581005763
low,reflections_fractional,32,squared_deg2,1.6439840133372148,1.5597555714609326,1.7277282407297796
high,rounding_direct,32,signed_deg,-1.6588150999641278,-1.6613567103904483,-1.6561649337271047
high,rounding_direct,32,squared_deg2,4.417489611825968,4.334710038012475,4.499127539929401
high,rounding_reflected,32,signed_deg,-2.5232745464546213,-3.138525137277389,-1.8788973325234959
high,rounding_reflected,32,squared_deg2,78.3364563034999,20.454721986926963,135.58464431559025
high,onset_reflected,1,signed_deg,-0.7067322554273024,-6.018890633308562,4.452065275020965
high,onset_reflected,4,signed_deg,1.5042450259544693,-1.1184813795878141,4.004856218985877
high,onset_reflected,32,signed_deg,0.06672073678257257,-0.2912605882975303,0.4188019941864281
high,onset_reflected,1,squared_deg2,-1789.6598060685853,-2449.3085795252955,-1228.0204560823684
high,onset_reflected,4,squared_deg2,-719.1137089435811,-991.1716057730792,-449.75140294603756
high,onset_reflected,32,squared_deg2,-85.575874212754,-122.9094082632292,-45.24909191987028
high,reflections_fractional,32,signed_deg,1.9193040275417603,1.0572333885514842,2.8095667840071004
high,reflections_fractional,32,squared_deg2,1494.2953148663403,1397.3776521745742,1592.1891146020935
