variation,method,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
base,GCC-PHAT,24,120,3840,22.413040118993905,21.008617261425776,23.97478835417507,1.8436491750060497,16.649467109578932,0.09343197217518598,0.12066113003739669,0.9432072758682947,-0.22520849270066184,0.4699086318566098,0.30572916666666666,0.29635416666666664,0.31484375
base,SRP-PHAT,24,120,3840,30.26247026110915,27.937232366130043,32.39826874591517,1.7932048715427413,16.29808289262435,1.3140173157815114,0.3335087042995914,0.9147171312264198,-0.06719106444557726,0.7438052166302767,0.28619791666666666,0.27942057291666667,0.29322916666666665
base,refined_correlation16,24,120,3840,22.413165700067886,20.98128348039944,24.02607350026443,1.8435633851537432,16.64863794082036,0.09344113311427964,0.12065348692437228,0.9432066938694419,-0.19555797320126184,0.47662094458216087,0.30572916666666666,0.29635416666666664,0.3143229166666667
base,refined_extent84,24,120,3840,22.413040118993905,20.927725910384602,23.964871315365613,1.8436491750060497,16.649467109578932,0.09343197217518598,0.12066113003739669,0.9432072758682947,-0.21675879632770334,0.4634010444168593,0.30572916666666666,0.29634765625,0.3143294270833333
base,refined_propagation64,24,120,3840,22.41304726137895,20.92273119668807,23.936127828542677,1.8436403730207473,16.649396495719206,0.09342067051234947,0.12065212856040536,0.943207277686089,-0.2054338755793041,0.478555688464195,0.30572916666666666,0.29661458333333335,0.31536458333333334
base,refined_srp_grid005,24,120,3840,30.262474195195548,28.047493445495522,32.36971518332833,1.7931941797919677,16.29796602899994,1.3140063450843347,0.3335002124052772,0.9147170586550248,-0.05765533625972796,0.7544421418763383,0.28619791666666666,0.27916015625,0.2929752604166666
lower_band,GCC-PHAT,24,120,3840,42.05442365782911,40.65465035024494,43.35869851739795,12.478312188206274,66.34907739778807,0.5102460085376375,0.5037301194790278,0.809767193777862,-0.24733610509366843,1.2343914944412289,0.7729166666666667,0.7614518229166667,0.7848958333333333
non_equilateral,GCC-PHAT,24,120,3840,19.64398045258967,18.472333209460054,20.818804427385714,2.0855460571139446,18.207521868103328,-0.1254718637473033,0.10260470841098525,0.9548638209646405,-0.2604423912623321,0.46429303048011844,0.31875,0.30963541666666666,0.32760416666666664
rotation17,GCC-PHAT,24,120,3840,23.7290518086539,22.578186180058648,24.797147936964517,1.9776597168594208,20.27710775030905,0.814305688873067,0.6520448047344479,0.9348607002262563,0.16666903910691944,1.1154981148036862,0.31302083333333336,0.30234375,0.32318359374999994
unequal_walls,GCC-PHAT,24,120,3840,23.642948208702208,22.408348694434558,24.844790938770682,1.9120061496580831,15.782345612839835,0.4680302608751627,0.3961868963328283,0.9400127261999138,-0.0425835000025937,0.8495745859059392,0.30833333333333335,0.29973958333333334,0.31744791666666666
