fs_hz,seed,truth_deg,interp,difference_from_64_deg,oracle_error_deg
16000,11,7.37,8,-0.0004741197612929682,-0.4445539064568038
16000,11,7.37,16,6.423483259254681e-05,-0.4440155518629183
16000,11,7.37,32,-3.2654566552992037e-06,-0.44408305215216615
16000,11,7.37,64,0.0,-0.44407978669551085
16000,11,37.37,8,-5.542094498878214e-05,0.18119370064604823
16000,11,37.37,16,-5.572646011842153e-05,0.181193395130947
16000,11,37.37,32,3.1736848882246704e-07,0.18124943895952583
16000,11,37.37,64,0.0,0.181249121591037
16000,11,67.37,8,0.0004469459591973646,0.4417521456449549
16000,11,67.37,16,3.97090379351539e-05,0.4413449087236927
16000,11,67.37,32,-3.687557068587921e-07,0.4413048309300507
16000,11,67.37,64,0.0,0.44130519968575754
16000,11,97.37,8,-0.00018470735992082155,-0.17865781425615523
16000,11,97.37,16,-4.3608996179500537e-05,-0.1785167158923855
16000,11,97.37,32,-8.335445272678044e-06,-0.1784814423415071
16000,11,97.37,64,0.0,-0.1784731068962344
16000,11,127.37,8,-0.000474119761406655,-0.4445539064568038
16000,11,127.37,16,6.423483247885997e-05,-0.4440155518628899
16000,11,127.37,32,-3.2654567689860414e-06,-0.4440830521521377
16000,11,127.37,64,0.0,-0.44407978669536874
16000,11,157.37,8,-5.542094510246898e-05,0.18119370064610507
16000,11,157.37,16,-5.5726460260530075e-05,0.181193395130947
16000,11,157.37,32,3.173683467139199e-07,0.18124943895955425
16000,11,157.37,64,0.0,0.18124912159120754
16000,11,187.37,8,0.00044694595908367774,0.4417521456449549
16000,11,187.37,16,3.970903787831048e-05,0.44134490872374954
16000,11,187.37,32,-3.687557068587921e-07,0.44130483093010753
16000,11,187.37,64,0.0,0.44130519968587123
16000,11,217.37,8,-0.00018470736003450838,-0.17865781425621208
16000,11,217.37,16,-4.3608996321609084e-05,-0.17851671589255602
16000,11,217.37,32,-8.335445272678044e-06,-0.17848144234147867
16000,11,217.37,64,0.0,-0.178473106896206
16000,11,247.37,8,-0.0004741197614350767,-0.44455390645686066
16000,11,247.37,16,6.423483250728168e-05,-0.4440155518628899
16000,11,247.37,32,-3.2654566552992037e-06,-0.44408305215205246
16000,11,247.37,64,0.0,-0.44407978669539716
16000,11,277.37,8,-5.5420945159312396e-05,0.18119370064607665
16000,11,277.37,16,-5.5726460288951785e-05,0.18119339513089017
16000,11,277.37,32,3.1736831829221046e-07,0.18124943895952583
16000,11,277.37,64,0.0,0.18124912159123596
16000,11,307.37,8,0.0004469459591973646,0.4417521456449549
16000,11,307.37,16,3.97090379351539e-05,0.4413449087236927
16000,11,307.37,32,-3.6875565001537325e-07,0.44130483093010753
16000,11,307.37,64,0.0,0.44130519968575754
16000,11,337.37,8,-0.00018470735997766496,-0.17865781425615523
16000,11,337.37,16,-4.3608996207922246e-05,-0.1785167158923855
16000,11,337.37,32,-8.335445272678044e-06,-0.17848144234147867
16000,11,337.37,64,0.0,-0.17847310689614915
16000,29,7.37,8,-0.0004945777783973426,-0.44351833955440156
16000,29,7.37,16,6.521014393001678e-05,-0.4429585516320742
16000,29,7.37,32,-2.9333404540921038e-06,-0.44302669511648674
16000,29,7.37,64,0.0,-0.4430237617760042
16000,29,37.37,8,-4.876450427104828e-05,0.1807678197301641
16000,29,37.37,16,-6.0985183182538094e-05,0.1807555990512526
16000,29,37.37,32,-4.821274899313721e-07,0.1808161021069452
16000,29,37.37,64,0.0,0.18081658423443514
16000,29,67.37,8,0.00046999770256661577,0.4407315272129324
16000,29,67.37,16,4.542153197917287e-05,0.44030695104231654
16000,29,67.37,32,-2.217089217992907e-06,0.4402593124211194
16000,29,67.37,64,0.0,0.44026152951033737
16000,29,97.37,8,-0.0001926441428850012,-0.1782449116025191
16000,29,97.37,16,-4.549225548089453e-05,-0.178097759715115
16000,29,97.37,32,-8.707043065214748e-06,-0.1780609745026709
16000,29,97.37,64,0.0,-0.1780522674596341
16000,29,127.37,8,-0.0004945777783120775,-0.44351833955437314
16000,29,127.37,16,6.521014404370362e-05,-0.44295855163201736
16000,29,127.37,32,-2.933340340405266e-06,-0.44302669511640147
16000,29,127.37,64,0.0,-0.44302376177606106
16000,29,157.37,8,-4.8764504072096315e-05,0.18076781973022094
16000,29,157.37,16,-6.0985183068851256e-05,0.18075559905122418
16000,29,157.37,32,-4.821273762445344e-07,0.1808161021069168
16000,29,157.37,64,0.0,0.18081658423429303
16000,29,187.37,8,0.00046999770256661577,0.4407315272129608
16000,29,187.37,16,4.542153183706432e-05,0.44030695104220285
16000,29,187.37,32,-2.2170893885231635e-06,0.4402593124210057
16000,29,187.37,64,0.0,0.4402615295103942
16000,29,217.37,8,-0.00019264414299868804,-0.17824491160257594
16000,29,217.37,16,-4.5492255566159656e-05,-0.178097759715115
16000,29,217.37,32,-8.707043150479876e-06,-0.17806097450272773
16000,29,217.37,64,0.0,-0.17805226745957725
16000,29,247.37,8,-0.000494577778454186,-0.44351833955443
16000,29,247.37,16,6.521014393001678e-05,-0.4429585516320458
16000,29,247.37,32,-2.9333403688269755e-06,-0.44302669511637305
16000,29,247.37,64,0.0,-0.4430237617759758
16000,29,277.37,8,-4.8764504128939734e-05,0.1807678197301925
16000,29,277.37,16,-6.0985183125694675e-05,0.18075559905122418
16000,29,277.37,32,-4.821274615096627e-07,0.18081610210685994
16000,29,277.37,64,0.0,0.18081658423432145
16000,29,307.37,8,0.00046999770248135064,0.4407315272129608
16000,29,307.37,16,4.542153183706432e-05,0.44030695104231654
16000,29,307.37,32,-2.2170893885231635e-06,0.4402593124211194
16000,29,307.37,64,0.0,0.4402615295105079
16000,29,337.37,8,-0.00019264414282815778,-0.1782449116025191
16000,29,337.37,16,-4.549225542405111e-05,-0.178097759715115
16000,29,337.37,32,-8.70704297994962e-06,-0.1780609745026709
16000,29,337.37,64,0.0,-0.17805226745969094
48000,11,7.37,8,-9.420192213838163e-06,-0.4445034733896023
48000,11,7.37,16,-1.8831826196219481e-06,-0.44449593637997964
48000,11,7.37,32,-2.3483863742512767e-08,-0.44449407668122376
48000,11,7.37,64,0.0,-0.44449405319736
48000,11,37.37,8,1.9525455940083702e-05,0.18143748770896195
48000,11,37.37,16,-6.12711147596201e-07,0.18141734954184585
48000,11,37.37,32,5.063918706582626e-08,0.1814180128921805
48000,11,37.37,64,0.0,0.18141796225302187
48000,11,67.37,8,-2.26028328143002e-06,0.44171210642042524
48000,11,67.37,16,-3.487750745989615e-07,0.4417140179286605
