scene,record_id,snr_db,variant,frame,theta_true,error_deg
r0p0t0a37.37,0,10.0,F_S_D,0,37.37,0.7800499467954296
r0p0t0a37.37,0,10.0,F_S_D,1,37.37,-0.1537224018429697
r0p0t0a37.37,0,10.0,F_S_D,2,37.37,0.16728022951576804
r0p0t0a37.37,0,10.0,F_S_D,3,37.37,-0.5661717100621217
r0p0t0a37.37,0,10.0,F_S_D,4,37.37,-0.1154198351161142
r0p0t0a37.37,0,10.0,F_S_D,5,37.37,-0.9077204759415167
r0p0t0a37.37,0,10.0,F_S_D,6,37.37,2.157693129504594
r0p0t0a37.37,0,10.0,F_S_D,7,37.37,-0.8259344664453749
r0p0t0a37.37,0,10.0,F_S_D,8,37.37,0.3716611123169855
r0p0t0a37.37,0,10.0,F_S_D,9,37.37,1.5284656422431624
r0p0t0a37.37,0,10.0,F_S_D,10,37.37,1.1380583258219303
r0p0t0a37.37,0,10.0,F_S_D,11,37.37,0.4577592616556103
r0p0t0a37.37,0,10.0,F_S_D,12,37.37,-0.5953221556830499
r0p0t0a37.37,0,10.0,F_S_D,13,37.37,-0.19981773796010316
r0p0t0a37.37,0,10.0,F_S_D,14,37.37,-0.8231191388664456
r0p0t0a37.37,0,10.0,F_S_D,15,37.37,0.46954857609298983
r0p0t0a37.37,0,10.0,F_S_D,16,37.37,-0.09546838982913641
r0p0t0a37.37,0,10.0,F_S_D,17,37.37,-0.23762616855375995
r0p0t0a37.37,0,10.0,F_S_D,18,37.37,0.06359441816999833
r0p0t0a37.37,0,10.0,F_S_D,19,37.37,-0.572594254741972
r0p0t0a37.37,0,10.0,F_S_D,20,37.37,2.1291706257523515
r0p0t0a37.37,0,10.0,F_S_D,21,37.37,0.09203139289189721
r0p0t0a37.37,0,10.0,F_S_D,22,37.37,-0.8155378151859622
r0p0t0a37.37,0,10.0,F_S_D,23,37.37,-1.33898915882844
r0p0t0a37.37,0,10.0,F_S_D,24,37.37,0.39061518993599975
r0p0t0a37.37,0,10.0,F_S_D,25,37.37,-0.37303370267827063
r0p0t0a37.37,0,10.0,F_S_D,26,37.37,1.362770753534221
r0p0t0a37.37,0,10.0,F_S_D,27,37.37,-0.29328330163744454
r0p0t0a37.37,0,10.0,F_S_D,28,37.37,0.10081463176413763
r0p0t0a37.37,0,10.0,F_S_D,29,37.37,0.21430069327979595
r0p0t0a37.37,0,10.0,F_S_D,30,37.37,0.027609460178496192
r0p0t0a37.37,0,10.0,F_S_D,31,37.37,0.8679681202614233
r0p0t0a37.37,0,10.0,F_S_R,0,37.37,1.394027691803558
r0p0t0a37.37,0,10.0,F_S_R,1,37.37,-0.1842472292629509
r0p0t0a37.37,0,10.0,F_S_R,2,37.37,0.08687421754970615
r0p0t0a37.37,0,10.0,F_S_R,3,37.37,0.01856656798071299
r0p0t0a37.37,0,10.0,F_S_R,4,37.37,1.5278027869330515
r0p0t0a37.37,0,10.0,F_S_R,5,37.37,-0.6506111020124763
r0p0t0a37.37,0,10.0,F_S_R,6,37.37,3.599362713264213
r0p0t0a37.37,0,10.0,F_S_R,7,37.37,-0.4469351893170028
r0p0t0a37.37,0,10.0,F_S_R,8,37.37,0.5417479957861246
r0p0t0a37.37,0,10.0,F_S_R,9,37.37,0.7288325129106852
r0p0t0a37.37,0,10.0,F_S_R,10,37.37,1.9990044108224936
r0p0t0a37.37,0,10.0,F_S_R,11,37.37,0.346899161281641
r0p0t0a37.37,0,10.0,F_S_R,12,37.37,0.4509740699930376
r0p0t0a37.37,0,10.0,F_S_R,13,37.37,0.16273214473014264
r0p0t0a37.37,0,10.0,F_S_R,14,37.37,-0.5543013489034365
r0p0t0a37.37,0,10.0,F_S_R,15,37.37,-0.7079667275445445
r0p0t0a37.37,0,10.0,F_S_R,16,37.37,-0.637620636603458
r0p0t0a37.37,0,10.0,F_S_R,17,37.37,0.9015240102369262
r0p0t0a37.37,0,10.0,F_S_R,18,37.37,-0.7806864173203962
r0p0t0a37.37,0,10.0,F_S_R,19,37.37,0.2421955387617345
r0p0t0a37.37,0,10.0,F_S_R,20,37.37,1.2210273817564996
r0p0t0a37.37,0,10.0,F_S_R,21,37.37,-1.0829185211093773
r0p0t0a37.37,0,10.0,F_S_R,22,37.37,-0.6960250992593444
r0p0t0a37.37,0,10.0,F_S_R,23,37.37,0.6219549510951765
r0p0t0a37.37,0,10.0,F_S_R,24,37.37,0.27525411346982764
r0p0t0a37.37,0,10.0,F_S_R,25,37.37,-0.7160293996411156
r0p0t0a37.37,0,10.0,F_S_R,26,37.37,1.8183230710792486
