group,contrast,metric,estimate,ci_low,ci_high
all,rounding,signed_deg,-1.6801504117896615,-1.818599862772398,-1.5423409507076804
all,rounding,squared_deg2,13.574635071969594,2.9233657779159006,24.417118519109877
all,onset,signed_deg,-0.10667545352133402,-0.17988004272952293,-0.03221002581077846
all,onset,squared_deg2,-26.300388293258482,-35.3841238588459,-16.548374889821694
all,reflections,signed_deg,1.1250785585510263,0.7108238599615668,1.4961103965668685
all,reflections,squared_deg2,786.3096795250729,741.9595258541161,832.2627082073834
all,rounding:onset,signed_deg,0.0005060282995974052,-0.09223520885519657,0.10285087669070589
all,rounding:onset,squared_deg2,3.4105172121913165,-4.550100572461724,11.253483241358968
all,rounding:reflections,signed_deg,-0.04425547491132716,-0.3294072239239653,0.23258369345600183
all,rounding:reflections,squared_deg2,18.489438361596513,-1.2552360519332406,40.1444234058875
all,onset:reflections,signed_deg,-0.2134437446526721,-0.37039879076688265,-0.05926322911224877
all,onset:reflections,squared_deg2,-52.60069795934481,-70.89201730037689,-33.76207501454194
all,rounding:onset:reflections,signed_deg,0.00120830848817681,-0.18228060393601217,0.20545730428871734
all,rounding:onset:reflections,squared_deg2,6.821597217963445,-8.41142698944348,22.022932327329848
low,rounding,signed_deg,-1.6576875468527448,-1.6618679682704312,-1.6537759869527207
low,rounding,squared_deg2,4.384452772225696,4.303893734640109,4.468444966699514
low,onset,signed_deg,0.00010281773578751806,-0.0018653571529295813,0.0018659664740311556
low,onset,squared_deg2,-0.0060440451394979805,-0.011925305127476795,-0.0003670657742838421
low,reflections,signed_deg,-0.14868399251702297,-0.17363827195596176,-0.12356656427730073
low,reflections,squared_deg2,1.6609837022327605,1.5625572898882965,1.756428881532256
low,rounding:onset,signed_deg,0.0005569158244682379,6.470777765302841e-05,0.0010544098202079203
low,rounding:onset,squared_deg2,-0.0005241236692038908,-0.008319109472747496,0.007690328526589179
low,rounding:reflections,signed_deg,0.0011411041760353582,-0.00450065281783608,0.006777816199740319
low,rounding:reflections,squared_deg2,0.15650507131086702,0.05413553043398424,0.26073420174577727
low,onset:reflections,signed_deg,5.468158357544439e-05,-0.003421299899426621,0.0035777929647405247
low,onset:reflections,squared_deg2,-0.011107612888112876,-0.022011553736131877,-0.0003715348448389717
low,rounding:onset:reflections,signed_deg,0.0011617377600129251,0.00024387516275326625,0.0021200301434615982
low,rounding:onset:reflections,squared_deg2,5.903275114821915e-05,-0.016452308706284603,0.015484485809888343
high,rounding,signed_deg,-1.7026132767265785,-1.9949888809714675,-1.4154621804919447
high,rounding,squared_deg2,22.764817371713495,2.591458769958459,44.23393991864345
high,onset,signed_deg,-0.21345372477845556,-0.3659609818494403,-0.0733430403402396
high,onset,squared_deg2,-52.59473254137747,-71.15409306059863,-34.015360738719544
high,reflections,signed_deg,2.398841109619076,1.626093831507746,3.1752048590765556
high,reflections,squared_deg2,1570.9583753479128,1480.7864853730134,1660.2395664006315
high,rounding:onset,signed_deg,0.0004551407747265775,-0.19615987823696418,0.21447154996749834
high,rounding:onset,squared_deg2,6.821558548051832,-8.86754286888533,23.50559107082129
high,rounding:reflections,signed_deg,-0.08965205399868961,-0.6408057038691836,0.46651685746496024
high,rounding:reflections,squared_deg2,36.82237165188216,-5.788798247127876,78.85671760643149
high,onset:reflections,signed_deg,-0.4269421708889196,-0.7391998437955266,-0.11406541238841611
high,onset:reflections,squared_deg2,-105.19028830580149,-144.02307791079588,-69.02236105924237
high,rounding:onset:reflections,signed_deg,0.0012548792163405568,-0.3655549224354183,0.4145790628544237
high,rounding:onset:reflections,squared_deg2,13.643135403175735,-18.232101051763728,45.8963756528289
