group,contrast,first_frames,metric,estimate,ci_low,ci_high
all,rounding_direct,32,signed_deg,-1.6579736113617527,-1.6598429349086528,-1.656061483630889
all,rounding_direct,32,squared_deg2,4.330056589566541,4.271943466660491,4.388434198104925
all,rounding_reflected,32,signed_deg,-1.7028332405171682,-2.0086616514710767,-1.379190609235925
all,rounding_reflected,32,squared_deg2,19.408696342181333,-2.396178318126623,42.33181554494594
all,onset_reflected,1,signed_deg,-0.8274389551466443,-3.5159236106238048,1.884666857936726
all,onset_reflected,4,signed_deg,-1.0696684841280042,-2.2269322030541425,0.1299005157983063
all,onset_reflected,32,signed_deg,-0.213952417119513,-0.39361245876142736,-0.02147127291139324
all,onset_reflected,1,squared_deg2,-806.3475295842253,-1096.1590553865099,-511.16745730306855
all,onset_reflected,4,squared_deg2,-510.43235982021116,-664.6264488486682,-368.6337969912091
all,onset_reflected,32,squared_deg2,-56.01139518351741,-77.02949481632352,-36.349173180998186
all,reflections_fractional,32,signed_deg,1.2542302454550702,0.7906555368137737,1.706724210136857
all,reflections_fractional,32,squared_deg2,805.0707086284376,757.9278440210784,850.4585688041964
low,rounding_direct,32,signed_deg,-1.6582461224129932,-1.6608816008494023,-1.655649060022924
low,rounding_direct,32,squared_deg2,4.306477056592652,4.224885556738531,4.387005591408711
low,rounding_reflected,32,signed_deg,-1.6576858871169644,-1.6642860187161608,-1.65145866581955
low,rounding_reflected,32,squared_deg2,4.462952611527945,4.356141052592143,4.568378240949422
low,onset_reflected,1,signed_deg,-0.011563899203902394,-0.1276053380568656,0.10308081873208351
low,onset_reflected,4,signed_deg,-0.003510035964310158,-0.033535072602294304,0.026414603653471477
low,onset_reflected,32,signed_deg,-0.00043873382466211,-0.004229670660639075,0.003206298946914779
low,onset_reflected,1,squared_deg2,-0.38716692919383155,-0.7188301452731373,-0.07218904182925952
low,onset_reflected,4,squared_deg2,-0.0908005866859568,-0.17270845832000972,-0.010495811820082012
low,onset_reflected,32,squared_deg2,-0.01135054793673953,-0.02190529174727153,-0.0011850800911870243
low,reflections_fractional,32,signed_deg,-0.14899145095682512,-0.17365593213427344,-0.12308246337603782
low,reflections_fractional,32,squared_deg2,1.5882997312091702,1.5010421883106106,1.6774231354637075
high,rounding_direct,32,signed_deg,-1.6577011003105118,-1.6601112486869483,-1.655221437884786
high,rounding_direct,32,squared_deg2,4.35363612254043,4.264934806600397,4.437765752491506
high,rounding_reflected,32,signed_deg,-1.7479805939173718,-2.325478056493034,-1.1355644902849733
high,rounding_reflected,32,squared_deg2,34.35444007283473,-8.139448865515796,75.94353689519383
high,onset_reflected,1,signed_deg,-1.6433140110893865,-7.082863033180276,3.7090697891542774
high,onset_reflected,4,signed_deg,-2.1358269322916974,-4.3891061355792065,0.28280332147725923
high,onset_reflected,32,signed_deg,-0.4274661004143638,-0.7761701210017291,-0.07999402781220395
high,onset_reflected,1,squared_deg2,-1612.3078922392565,-2249.5062270997323,-1048.4276653822913
high,onset_reflected,4,squared_deg2,-1020.7739190537364,-1311.093052863361,-729.8270525117023
high,onset_reflected,32,squared_deg2,-112.01143981909809,-150.9115468592283,-71.49303150779802
high,reflections_fractional,32,signed_deg,2.6574519418669658,1.7454917365305473,3.6318766724442835
high,reflections_fractional,32,squared_deg2,1608.5531175256665,1520.6831519475297,1704.1895697217467
