group,variant,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
all,F_S_D,72,360,11520,0.9291944711720257,0.9196407023845309,0.93899154722085,0.6351096770083586,1.5293625240395217,0.01912020753572561,0.01911898627310277,0.9998685604735871,0.005292638457159009,0.032922749594115966,0.0,0.0,0.0
all,F_S_R,72,360,11520,28.388978688809758,27.56880568443744,29.19881938319703,2.111489876591321,21.909843101312564,1.273350452990796,0.6516036115028754,0.9181370123307969,0.4050382175159576,0.9083998894683105,0.32413194444444443,0.3189236111111111,0.32925347222222223
all,F_O_D,72,360,11520,0.9292490247860283,0.9200781431554148,0.938485159011198,0.6352321267309975,1.5290024938664146,0.019215689312973135,0.019214468038156414,0.9998685455909808,0.0058220988120891125,0.03292185768297642,0.0,0.0,0.0
all,F_O_R,72,360,11520,27.384716829103365,26.524099543049537,28.243353908948947,2.059993014187313,20.43707361115673,1.059398035871283,0.5721417687966074,0.9235933700820486,0.3223700478492091,0.8141405620279939,0.3140625,0.3090256076388889,0.31883680555555555
all,Q_S_D,72,360,11520,2.2789161798590136,2.265758577917173,2.2928120032200536,2.0292803827271655,3.420432223342175,-1.638853403826027,-1.6389665669382032,0.9996181293020431,-1.6528415425362595,-1.625381921143041,0.0018229166666666667,0.0012152777777777778,0.0024305555555555556
all,Q_S_R,72,360,11520,28.728780122655326,27.879257924799372,29.560128170186427,3.1766080879139906,23.268783850953906,-0.42948278752637215,-1.1586484287176715,0.9157863217238789,-1.4224999494083432,-0.8963241426379219,0.3394965277777778,0.33368055555555554,0.3454861111111111
all,Q_O_D,72,360,11520,2.278876684430713,2.2648357843223925,2.291515991453614,2.0291334715702476,3.420432223342155,-1.6388560479932706,-1.6389691543049867,0.999618158032668,-1.6525721495827295,-1.625217004369482,0.0018229166666666667,0.0012152777777777778,0.0024305555555555556
all,Q_O_R,72,360,11520,27.859517726865473,27.01919558013789,28.739872756307854,3.118579845941909,21.491009950788815,-0.6423250221021995,-1.252882225399026,0.9205711146380707,-1.4915924731004035,-1.0147289639324049,0.33359375,0.32803602430555556,0.3390625
low,F_S_D,36,180,5760,0.9357648682099206,0.9231197246133318,0.948546202518978,0.6401596285452342,1.5449456071113132,0.030302320850641863,0.030300827102139997,0.9998667783187718,0.010497106909891123,0.04856871425754458,0.0,0.0,0.0
low,F_S_R,36,180,5760,1.5696992131568075,1.5424625561275567,1.5988555751827587,0.9543913583247274,2.5411604541107753,-0.11868913010618329,-0.11868846825104856,0.9996269593275317,-0.14728651719543864,-0.08976144720677132,0.006597222222222222,0.0046875,0.008680555555555556
low,F_O_D,36,180,5760,0.935650826912945,0.9236692762726549,0.9503689743959006,0.6401596285452342,1.5434674701474456,0.030389774322410773,0.03038827117333908,0.9998668116293132,0.010486374080480646,0.04974121018057117,0.0,0.0,0.0
low,F_O_R,36,180,5760,1.5660795228366793,1.5365006170306736,1.596159321998322,0.9518013205727556,2.5188554455046357,-0.11912786393084537,-0.11912818751088369,0.999628703797102,-0.1503386318351298,-0.09003167120762418,0.006597222222222222,0.0045138888888888885,0.008680555555555556
low,Q_S_D,36,180,5760,2.2764298682736928,2.2579843908662927,2.2956443401232076,2.023408773156902,3.411387928999602,-1.6279438015623513,-1.6280625233121595,0.9996144272722037,-1.6484112198725247,-1.6089326043609176,0.001736111111111111,0.0008680555555555555,0.0026041666666666665
low,Q_S_R,36,180,5760,2.6319020178025334,2.6074814623007647,2.656893593312209,2.0910337234173824,4.118975529307871,-1.7763750172231476,-1.7764521055700764,0.9994257485375877,-1.8042254980315522,-1.750708372201389,0.03611111111111111,0.03194444444444444,0.04045138888888889
low,Q_O_D,36,180,5760,2.2762613835960828,2.258105591393945,2.2958355944672832,2.0234087731568877,3.4113879289995284,-1.6278803011461207,-1.6279989215438717,0.9996145125893833,-1.6485241242008377,-1.60786512067392,0.001736111111111111,0.0008680555555555555,0.0026041666666666665
low,Q_O_R,36,180,5760,2.6296507517316203,2.6041640143367886,2.655737330848967,2.0878891326546096,4.109299371890853,-1.7756759663433348,-1.7757535712346582,0.9994271744108197,-1.804741721566368,-1.7478240013114004,0.0359375,0.03194444444444444,0.04010416666666667
high,F_S_D,36,180,5760,0.9225772823657598,0.9089406827697405,0.9368589903979776,0.6308527634299139,1.5052183111737294,0.007938094220809358,0.007937185730660696,0.9998703807106618,-0.011730460993144934,0.027677142725819233,0.0,0.0,0.0
high,F_S_R,36,180,5760,40.11738110056044,38.96565666624941,41.22363296350819,7.464853143897756,62.33086260888563,2.665390036087775,1.571743354282634,0.8368453142269401,0.9849187634400861,2.0907245191365247,0.6416666666666667,0.6317708333333333,0.6515668402777778
high,F_O_D,36,180,5760,0.922802812213255,0.908549620072286,0.9369600668865171,0.6312984903513552,1.5064114727175593,0.008041604303535498,0.008040704082859984,0.999870317580182,-0.012182321468290203,0.029109620570019562,0.0,0.0,0.0
high,F_O_R,36,180,5760,38.69616035924631,37.44023317556131,39.89437465221427,7.107936921051774,58.06280806120215,2.237923935673411,1.3872960931854497,0.8477165820028705,0.8434005347554046,1.942384579040996,0.6215277777777778,0.6111111111111112,0.6319444444444444
high,Q_S_D,36,180,5760,2.281399781817694,2.261836549294079,2.3020406512188463,2.032695801282358,3.426450428321368,-1.6497630060897026,-1.6498705294045928,0.999621867536236,-1.6697015204198893,-1.6319554262719849,0.0019097222222222222,0.0010416666666666667,0.002951388888888889
high,Q_S_R,36,180,5760,40.543294222848225,39.37858597642781,41.704390507255866,7.703612673157039,66.25849948613492,0.9174094421704033,-0.41676099154058643,0.8322747631917333,-1.0206743256748454,0.1693332633054584,0.6428819444444445,0.6328125,0.6534722222222222
high,Q_O_D,36,180,5760,2.281488987313567,2.261400349306833,2.3007913667200732,2.032695801282344,3.4264504283213966,-1.64983179484042,-1.6499393066509618,0.9996218401211765,-1.6683833786240192,-1.6306166071943238,0.0019097222222222222,0.0010416666666666667,0.002951388888888889
high,Q_O_R,36,180,5760,39.31145371098581,38.0718591954753,40.51218163968259,7.274216161227216,60.49134051731554,0.4910259221389361,-0.6321040974327063,0.8418060799991729,-1.1624244850797818,-0.0869866773431961,0.63125,0.6215277777777778,0.641150173611111
