group,frames_averaged,duration_s,cov_prediction_rmse_deg,iid_prediction_rmse_deg,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
all,1,0.042666666666666665,27.374765920103897,27.374765920103897,72,360,46080,28.13405620992641,27.671211124964234,28.61862873810015,2.1251637726210504,22.20616229219508,0.5954409015207871,0.5380140899588088,0.9181020191237075,0.4185865175473079,0.6650117566411079,0.3208550347222222,0.3182508680555556,0.32350314670138886
all,2,0.08533333333333333,19.938359541578336,19.976864930199458,72,360,23040,22.954440193926384,22.337206823903706,23.561127584313997,1.7792852348420212,29.155078601376506,0.9548159015207868,0.6962834533755942,0.9379817264199168,0.5178529838072368,0.8871074961776403,0.30052083333333335,0.29717881944444446,0.303994140625
all,4,0.17066666666666666,14.963657295474864,14.964083469057128,72,360,11520,16.46869479382858,15.658705043970588,17.328122432492247,1.5230355210182658,18.584029941877322,0.8839055617342291,0.7389558348118921,0.967135290005305,0.5308618061468958,0.936882108625571,0.2911458333333333,0.2861111111111111,0.29609375
all,8,0.3413333333333333,11.598839817243958,11.676819981640834,72,360,5760,12.074690864563916,11.215352528634527,13.016183144597331,1.396314244487382,13.801242771874247,0.9163561582177498,0.7741646962094799,0.980735189336465,0.5839193270219754,0.9568357698963873,0.26979166666666665,0.26284722222222223,0.27708333333333335
all,16,0.6826666666666666,9.469679423224138,9.620825863251843,72,360,2880,9.247671055696502,8.47191043637878,10.153071575507301,1.3474905377461806,11.6638322339841,0.9324481404158216,0.8380224539669755,0.9879946712077646,0.6419355191109049,1.041402475182931,0.24722222222222223,0.236796875,0.25729166666666664
all,32,1.3653333333333333,8.223969704321734,8.40632934131777,72,360,1440,7.912142564799,7.436277674801793,8.36291294913191,1.2551728113983591,10.784394686645179,0.9167376735954361,0.8672950488998605,0.990888983135704,0.679573340530202,1.0634545389630083,0.23680555555555555,0.225,0.24861111111111112
all,64,2.7306666666666666,7.595334901897831,7.727833742164895,72,360,720,7.383565013940499,6.8911702292695605,7.8417417256458535,1.280882997239575,9.987585756445746,0.920941477143429,0.8819062859501849,0.9920278902948853,0.6957984278515661,1.0769678136161112,0.22777777777777777,0.21388888888888888,0.24305555555555555
all,128,5.461333333333333,7.287132177934231,7.365183977502762,72,360,360,7.125093776631363,6.596983615653754,7.610208512400425,1.1948430487298678,9.63961498507525,0.9343112245144147,0.8974276552681674,0.9925642461743734,0.7185441684425926,1.0906763836684057,0.225,0.20833333333333334,0.24444444444444444
low,1,0.042666666666666665,1.5877320775239994,1.5877320775239994,36,180,23040,1.5983702714232446,1.5847123168464612,1.6116005358185745,0.9638056486689803,2.6026876412694184,-0.09566642497958679,-0.09566463549938203,0.9996123778137174,-0.11064906948170884,-0.08039350987903318,0.0066840277777777775,0.005815972222222222,0.007552083333333333
low,2,0.08533333333333333,1.26553514526746,1.2650072571256954,36,180,11520,1.2759874100554434,1.261081135331701,1.2899757061912667,0.7575411747055227,2.101013679633163,-0.09566642497958679,-0.09565832319702232,0.9997534536465301,-0.11073819145234744,-0.080972685122997,0.00078125,0.00034722222222222224,0.0012152777777777778
low,4,0.17066666666666666,1.0659931720435671,1.0676696426665293,36,180,5760,1.076993800247106,1.0611876837137337,1.0927311899738783,0.6297863332280003,1.7712527944533336,-0.09566802756012392,-0.09565832254128731,0.9998247490738086,-0.11105240518680214,-0.08060027966249686,0.0,0.0,0.0
low,8,0.3413333333333333,0.9501779952961681,0.9538113117997576,36,180,2880,0.9601973686066853,0.943941736187458,0.9770928424309057,0.5583578860487615,1.5826743311317908,-0.09567081787512823,-0.09566001495991432,0.9998609809729851,-0.11084347674287502,-0.08107089266355665,0.0,0.0,0.0
low,16,0.6826666666666666,0.8857625046218139,0.8914453403545975,36,180,1440,0.896877635582368,0.8782598387067373,0.9136696088887551,0.5282176847567974,1.5150201338185292,-0.09567008254259544,-0.09565859011922181,0.9998788871604191,-0.1106631569011638,-0.08071200722950261,0.0,0.0,0.0
low,32,1.3653333333333333,0.8531649234192514,0.8585651885566403,36,180,720,0.8637698210487693,0.8455915736575373,0.8828584797093804,0.5324096034668877,1.4295114432259863,-0.09567125707096366,-0.09565934794836592,0.9998877639229847,-0.11044753937239746,-0.08146162781241499,0.0,0.0,0.0
low,64,2.7306666666666666,0.8380485789950853,0.8416435570251737,36,180,360,0.849043867636227,0.829830773922203,0.8674329015881478,0.5291934649018668,1.4228059964409694,-0.09567128709916649,-0.09565928159032032,0.9998916050053774,-0.10973210488021329,-0.08109902325482958,0.0,0.0,0.0
low,128,5.461333333333333,0.8310266881596775,0.8330538542749385,36,180,180,0.8421612787111885,0.823546503403138,0.8609557527923689,0.5224527478743757,1.4215142897256783,-0.09567177303348487,-0.09565974961698079,0.9998933776577072,-0.11073977783127181,-0.08112066965364255,0.0,0.0,0.0
high,1,0.042666666666666665,38.68119343054147,38.68119343054147,36,180,23040,39.755445540479464,39.117374661808306,40.41469166049792,7.473963154275268,66.56681775818757,1.2865482280211609,1.2950585008105533,0.8367258327057001,1.0208037198161368,1.574590441125034,0.6350260416666667,0.6298600260416667,0.6399305555555556
high,2,0.08533333333333333,28.168684442383682,28.223217773993905,36,180,11520,32.43739362776341,31.60933750923667,33.263805207211206,6.89567101774206,52.731123493010166,2.0052982280211604,1.599684958347387,0.8764144377242389,1.2076490269721294,1.9950163056370398,0.6002604166666666,0.5935763888888889,0.60703125
high,4,0.17066666666666666,21.134941160788518,21.135460006158986,36,180,5760,23.265336893730606,22.047047004429878,24.52604343515171,6.249211198968796,28.76537736435506,1.863479151028582,1.63175893848409,0.9346653764256725,1.2223375784899246,2.0538868803222687,0.5822916666666667,0.5722222222222222,0.5923611111111111
high,8,0.3413333333333333,16.375693328510483,16.485948372743866,36,180,2880,17.0491741724603,15.795271917620218,18.395300016305008,5.585245902634318,22.12413669455272,1.9283831343106281,1.678371752274658,0.9618443877618763,1.27255668868106,2.065111999319007,0.5395833333333333,0.5256944444444445,0.5531336805555555
high,16,0.6826666666666666,13.36282460944075,13.576667698194255,36,180,1440,13.047392475721956,11.95093082543082,14.346983969281242,4.905847910593179,18.609416822491074,1.9605663633742387,1.7941776124039623,0.9763791662703936,1.4082574502978384,2.2049689395667667,0.49444444444444446,0.47430555555555554,0.5145833333333333
