variation,method,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
base,GCC-PHAT,24,120,3840,22.681743877931016,21.27854884929269,24.044210726797385,1.8275609464323281,16.863467208127755,0.8477835157246697,0.6795503470420986,0.9430076511970373,0.2194988629482662,1.1121253181657744,0.3109375,0.30234375,0.31979166666666664
base,SRP-PHAT,24,120,3840,29.908607577255044,28.24155810533373,31.588644988958507,1.7826691405910822,15.194110848176445,0.41605283048542696,0.04297479163234682,0.9165118644150463,-0.3111985399888251,0.3957390017923374,0.2869791666666667,0.27890625,0.2950520833333333
base,refined_correlation16,24,120,3840,22.681859503043448,21.21740554712755,24.102250226341283,1.8278796786469087,16.865338043366858,0.8477652380664248,0.6795297965100838,0.9430070989421776,0.2301915265694094,1.1195577897830036,0.3109375,0.30234375,0.32005208333333335
base,refined_extent56,24,120,3840,22.681749364420405,21.163826698393944,24.15881725966872,1.827555089783715,16.8634518450618,0.8477839529532685,0.6795484935174633,0.9430076317765611,0.18882123398862283,1.116702907396594,0.3109375,0.30182291666666666,0.32005208333333335
base,refined_propagation32,24,120,3840,22.681710819428243,21.18389952891133,24.06174032201773,1.827619875718213,16.863908297187262,0.847777864544794,0.6795449149235817,0.9430078019569664,0.19782183829220185,1.1216920937834867,0.3109375,0.3020833333333333,0.3195377604166666
base,refined_srp_grid005,24,120,3840,29.908610658017384,28.21773492535582,31.54545539893255,1.7826933387443376,15.19314885729011,0.41603951195394095,0.042960102542064976,0.916511830855394,-0.3202721660092531,0.38692811087866685,0.2869791666666667,0.27890625,0.2947916666666667
lower_band,GCC-PHAT,24,120,3840,42.49595693506316,40.99180051680234,44.09328141523477,13.058801687607456,70.18757249312065,0.9476609182620199,0.3200197078591619,0.8038027806796072,-0.6262312702325163,1.2029956990045656,0.775,0.7640625,0.7864583333333334
non_equilateral,GCC-PHAT,24,120,3840,18.915772139371008,17.189384714804504,20.659355264518478,2.1174440155789114,17.08325232165459,0.43068944000569936,0.3996050306379667,0.9594318252653393,0.14618133395383687,0.6432728799340779,0.31276041666666665,0.303125,0.3229231770833333
rotation17,GCC-PHAT,24,120,3840,23.609032213542907,21.868978164885363,25.243861749138038,2.07415572900004,19.182146516140808,1.0916014715444442,0.9736236198876871,0.9369361895061615,0.6311066606236775,1.3341356892331577,0.31692708333333336,0.30755208333333334,0.3260416666666667
unequal_walls,GCC-PHAT,24,120,3840,21.114078062436445,19.83978818206121,22.40353824894307,1.9070144375375264,15.763884817620685,0.6509002447769985,0.6099904982319889,0.9485595578322902,0.272287342484155,0.9504984814672612,0.2953125,0.2872395833333333,0.3028645833333333
