scene,record_id,snr_db,variant,frame,theta_true,error_deg
r0p0t0a37.37,0,10.0,F_S_D,0,37.37,0.287676192551487
r0p0t0a37.37,0,10.0,F_S_D,1,37.37,0.5220312436172208
r0p0t0a37.37,0,10.0,F_S_D,2,37.37,0.38701410862850594
r0p0t0a37.37,0,10.0,F_S_D,3,37.37,-0.3903075936129028
r0p0t0a37.37,0,10.0,F_S_D,4,37.37,1.3582633815826455
r0p0t0a37.37,0,10.0,F_S_D,5,37.37,-0.6556393883348903
r0p0t0a37.37,0,10.0,F_S_D,6,37.37,-0.6776008883800841
r0p0t0a37.37,0,10.0,F_S_D,7,37.37,1.0268161555673032
r0p0t0a37.37,0,10.0,F_S_D,8,37.37,1.041737595531231
r0p0t0a37.37,0,10.0,F_S_D,9,37.37,1.1761838107904339
r0p0t0a37.37,0,10.0,F_S_D,10,37.37,1.1553069603926645
r0p0t0a37.37,0,10.0,F_S_D,11,37.37,0.8844933999343993
r0p0t0a37.37,0,10.0,F_S_D,12,37.37,0.3005699729270077
r0p0t0a37.37,0,10.0,F_S_D,13,37.37,0.23450400232226798
r0p0t0a37.37,0,10.0,F_S_D,14,37.37,0.3505453440886299
r0p0t0a37.37,0,10.0,F_S_D,15,37.37,0.20240429331406062
r0p0t0a37.37,0,10.0,F_S_D,16,37.37,-0.549147531172224
r0p0t0a37.37,0,10.0,F_S_D,17,37.37,-0.4445159229693161
r0p0t0a37.37,0,10.0,F_S_D,18,37.37,-0.3305071878658623
r0p0t0a37.37,0,10.0,F_S_D,19,37.37,0.05686968062096298
r0p0t0a37.37,0,10.0,F_S_D,20,37.37,1.269093436195135
r0p0t0a37.37,0,10.0,F_S_D,21,37.37,1.467750366860713
r0p0t0a37.37,0,10.0,F_S_D,22,37.37,0.2829229354894096
r0p0t0a37.37,0,10.0,F_S_D,23,37.37,0.25126098892417303
r0p0t0a37.37,0,10.0,F_S_D,24,37.37,2.2160427731940047
r0p0t0a37.37,0,10.0,F_S_D,25,37.37,0.22419158615250012
r0p0t0a37.37,0,10.0,F_S_D,26,37.37,-0.26583989542572795
r0p0t0a37.37,0,10.0,F_S_D,27,37.37,0.06518440681321636
r0p0t0a37.37,0,10.0,F_S_D,28,37.37,-0.28790975007916586
r0p0t0a37.37,0,10.0,F_S_D,29,37.37,0.8479443666756481
r0p0t0a37.37,0,10.0,F_S_D,30,37.37,0.6569059728370519
r0p0t0a37.37,0,10.0,F_S_D,31,37.37,0.4956076873868369
r0p0t0a37.37,0,10.0,F_S_R,0,37.37,2.8174072999277087
r0p0t0a37.37,0,10.0,F_S_R,1,37.37,0.6904593515192232
r0p0t0a37.37,0,10.0,F_S_R,2,37.37,1.8711699891904914
r0p0t0a37.37,0,10.0,F_S_R,3,37.37,1.3106227722807944
r0p0t0a37.37,0,10.0,F_S_R,4,37.37,0.3065171515629004
r0p0t0a37.37,0,10.0,F_S_R,5,37.37,0.48201494249863686
r0p0t0a37.37,0,10.0,F_S_R,6,37.37,-0.8411377783136231
r0p0t0a37.37,0,10.0,F_S_R,7,37.37,-1.4285968899722263
r0p0t0a37.37,0,10.0,F_S_R,8,37.37,1.8599094025775003
r0p0t0a37.37,0,10.0,F_S_R,9,37.37,0.29907042899128555
r0p0t0a37.37,0,10.0,F_S_R,10,37.37,2.401081195992248
r0p0t0a37.37,0,10.0,F_S_R,11,37.37,1.223838186548818
r0p0t0a37.37,0,10.0,F_S_R,12,37.37,1.9484025911640401
r0p0t0a37.37,0,10.0,F_S_R,13,37.37,0.4711980967436489
r0p0t0a37.37,0,10.0,F_S_R,14,37.37,0.17958866659722617
r0p0t0a37.37,0,10.0,F_S_R,15,37.37,-0.4134870601217244
r0p0t0a37.37,0,10.0,F_S_R,16,37.37,-1.8982023720024586
r0p0t0a37.37,0,10.0,F_S_R,17,37.37,0.3504575685958571
r0p0t0a37.37,0,10.0,F_S_R,18,37.37,-1.2123477925591999
r0p0t0a37.37,0,10.0,F_S_R,19,37.37,0.3642740084440561
r0p0t0a37.37,0,10.0,F_S_R,20,37.37,2.3173028187273985
r0p0t0a37.37,0,10.0,F_S_R,21,37.37,0.28704438733120696
r0p0t0a37.37,0,10.0,F_S_R,22,37.37,-0.07795239208155635
r0p0t0a37.37,0,10.0,F_S_R,23,37.37,0.7400790708761633
r0p0t0a37.37,0,10.0,F_S_R,24,37.37,3.7897036390161247
r0p0t0a37.37,0,10.0,F_S_R,25,37.37,1.3777800728057343
r0p0t0a37.37,0,10.0,F_S_R,26,37.37,-1.5111065575210034
r0p0t0a37.37,0,10.0,F_S_R,27,37.37,0.8515679011198927
r0p0t0a37.37,0,10.0,F_S_R,28,37.37,1.388399268592309
r0p0t0a37.37,0,10.0,F_S_R,29,37.37,2.5623879823654647
r0p0t0a37.37,0,10.0,F_S_R,30,37.37,1.23389878267335
r0p0t0a37.37,0,10.0,F_S_R,31,37.37,0.7031291129717374
r0p0t0a37.37,0,10.0,F_O_D,0,37.37,0.3172868003435383
r0p0t0a37.37,0,10.0,F_O_D,1,37.37,0.5220312436172492
r0p0t0a37.37,0,10.0,F_O_D,2,37.37,0.38701410862850594
r0p0t0a37.37,0,10.0,F_O_D,3,37.37,-0.3903075936127891
r0p0t0a37.37,0,10.0,F_O_D,4,37.37,1.358263381582674
r0p0t0a37.37,0,10.0,F_O_D,5,37.37,-0.6556393883349187
r0p0t0a37.37,0,10.0,F_O_D,6,37.37,-0.6776008883800841
r0p0t0a37.37,0,10.0,F_O_D,7,37.37,1.02681615556736
r0p0t0a37.37,0,10.0,F_O_D,8,37.37,1.0417375955312593
r0p0t0a37.37,0,10.0,F_O_D,9,37.37,1.1761838107904623
r0p0t0a37.37,0,10.0,F_O_D,10,37.37,1.1553069603926929
r0p0t0a37.37,0,10.0,F_O_D,11,37.37,0.8844933999344278
r0p0t0a37.37,0,10.0,F_O_D,12,37.37,0.30056997292703613
r0p0t0a37.37,0,10.0,F_O_D,13,37.37,0.2345040023222964
r0p0t0a37.37,0,10.0,F_O_D,14,37.37,0.3505453440886299
r0p0t0a37.37,0,10.0,F_O_D,15,37.37,0.20240429331408905
r0p0t0a37.37,0,10.0,F_O_D,16,37.37,-0.5491475311722809
r0p0t0a37.37,0,10.0,F_O_D,17,37.37,-0.44451592296940134
r0p0t0a37.37,0,10.0,F_O_D,18,37.37,-0.3305071878658623
r0p0t0a37.37,0,10.0,F_O_D,19,37.37,0.056869680621019825
r0p0t0a37.37,0,10.0,F_O_D,20,37.37,1.2690934361951065
r0p0t0a37.37,0,10.0,F_O_D,21,37.37,1.4677503668607415
r0p0t0a37.37,0,10.0,F_O_D,22,37.37,0.28292293548935277
r0p0t0a37.37,0,10.0,F_O_D,23,37.37,0.25126098892417303
r0p0t0a37.37,0,10.0,F_O_D,24,37.37,2.21604277319409
r0p0t0a37.37,0,10.0,F_O_D,25,37.37,0.22419158615250012
r0p0t0a37.37,0,10.0,F_O_D,26,37.37,-0.26583989542575637
r0p0t0a37.37,0,10.0,F_O_D,27,37.37,0.06518440681313109
r0p0t0a37.37,0,10.0,F_O_D,28,37.37,-0.2879097500790806
r0p0t0a37.37,0,10.0,F_O_D,29,37.37,0.8479443666756765
r0p0t0a37.37,0,10.0,F_O_D,30,37.37,0.6569059728370519
r0p0t0a37.37,0,10.0,F_O_D,31,37.37,0.4956076873868369
r0p0t0a37.37,0,10.0,F_O_R,0,37.37,1.6420126645939774
r0p0t0a37.37,0,10.0,F_O_R,1,37.37,0.5859627787471595
r0p0t0a37.37,0,10.0,F_O_R,2,37.37,1.8769023805142524
r0p0t0a37.37,0,10.0,F_O_R,3,37.37,1.310329508918045
r0p0t0a37.37,0,10.0,F_O_R,4,37.37,0.3065261442394842
r0p0t0a37.37,0,10.0,F_O_R,5,37.37,0.4820088187236138
r0p0t0a37.37,0,10.0,F_O_R,6,37.37,-0.8411384758764484
r0p0t0a37.37,0,10.0,F_O_R,7,37.37,-1.4285967515368156
r0p0t0a37.37,0,10.0,F_O_R,8,37.37,1.8599093906817927
r0p0t0a37.37,0,10.0,F_O_R,9,37.37,0.29907042749889
r0p0t0a37.37,0,10.0,F_O_R,10,37.37,2.4010811960329477
r0p0t0a37.37,0,10.0,F_O_R,11,37.37,1.22383818674885
r0p0t0a37.37,0,10.0,F_O_R,12,37.37,1.948402591166996
r0p0t0a37.37,0,10.0,F_O_R,13,37.37,0.47119809674569524
r0p0t0a37.37,0,10.0,F_O_R,14,37.37,0.17958866659731143
r0p0t0a37.37,0,10.0,F_O_R,15,37.37,-0.41348706012163916
r0p0t0a37.37,0,10.0,F_O_R,16,37.37,-1.8982023720024017
r0p0t0a37.37,0,10.0,F_O_R,17,37.37,0.3504575685958571
r0p0t0a37.37,0,10.0,F_O_R,18,37.37,-1.2123477925591715
r0p0t0a37.37,0,10.0,F_O_R,19,37.37,0.3642740084440561
r0p0t0a37.37,0,10.0,F_O_R,20,37.37,2.3173028187273985
r0p0t0a37.37,0,10.0,F_O_R,21,37.37,0.28704438733120696
r0p0t0a37.37,0,10.0,F_O_R,22,37.37,-0.07795239208155635
r0p0t0a37.37,0,10.0,F_O_R,23,37.37,0.7400790708761633
r0p0t0a37.37,0,10.0,F_O_R,24,37.37,3.7897036390161816
r0p0t0a37.37,0,10.0,F_O_R,25,37.37,1.3777800728056775
r0p0t0a37.37,0,10.0,F_O_R,26,37.37,-1.5111065575210034
r0p0t0a37.37,0,10.0,F_O_R,27,37.37,0.8515679011199211
r0p0t0a37.37,0,10.0,F_O_R,28,37.37,1.3883992685922806
r0p0t0a37.37,0,10.0,F_O_R,29,37.37,2.5623879823654363
r0p0t0a37.37,0,10.0,F_O_R,30,37.37,1.2338987826733216
r0p0t0a37.37,0,10.0,F_O_R,31,37.37,0.7031291129717374
r0p0t0a37.37,0,10.0,Q_S_D,0,37.37,-2.365856397448283
r0p0t0a37.37,0,10.0,Q_S_D,1,37.37,-2.5037526164274766
r0p0t0a37.37,0,10.0,Q_S_D,2,37.37,-2.421743672857616
r0p0t0a37.37,0,10.0,Q_S_D,3,37.37,-3.27407760868158
r0p0t0a37.37,0,10.0,Q_S_D,4,37.37,-1.5148392005621076
r0p0t0a37.37,0,10.0,Q_S_D,5,37.37,-3.567446210999094
r0p0t0a37.37,0,10.0,Q_S_D,6,37.37,-3.509454238741057
r0p0t0a37.37,0,10.0,Q_S_D,7,37.37,-1.8459971684765435
r0p0t0a37.37,0,10.0,Q_S_D,8,37.37,-1.791608169992628
r0p0t0a37.37,0,10.0,Q_S_D,9,37.37,-1.9866384535273482
r0p0t0a37.37,0,10.0,Q_S_D,10,37.37,-1.5031701751514674
r0p0t0a37.37,0,10.0,Q_S_D,11,37.37,-1.8745751974899463
r0p0t0a37.37,0,10.0,Q_S_D,12,37.37,-2.525924851926419
r0p0t0a37.37,0,10.0,Q_S_D,13,37.37,-2.680032160639911
r0p0t0a37.37,0,10.0,Q_S_D,14,37.37,-2.6350472380202064
r0p0t0a37.37,0,10.0,Q_S_D,15,37.37,-2.535640004852411
r0p0t0a37.37,0,10.0,Q_S_D,16,37.37,-3.178944344512047
r0p0t0a37.37,0,10.0,Q_S_D,17,37.37,-3.441982519463977
r0p0t0a37.37,0,10.0,Q_S_D,18,37.37,-3.3238426029424772
r0p0t0a37.37,0,10.0,Q_S_D,19,37.37,-2.768555055580407
r0p0t0a37.37,0,10.0,Q_S_D,20,37.37,-1.571653828223333
r0p0t0a37.37,0,10.0,Q_S_D,21,37.37,-1.4302487906607553
r0p0t0a37.37,0,10.0,Q_S_D,22,37.37,-2.6704726469707794
r0p0t0a37.37,0,10.0,Q_S_D,23,37.37,-2.7186599272394574
r0p0t0a37.37,0,10.0,Q_S_D,24,37.37,-0.5741778166185441
r0p0t0a37.37,0,10.0,Q_S_D,25,37.37,-2.8090655265068563
r0p0t0a37.37,0,10.0,Q_S_D,26,37.37,-3.004726419512224
r0p0t0a37.37,0,10.0,Q_S_D,27,37.37,-2.7421649303806532
r0p0t0a37.37,0,10.0,Q_S_D,28,37.37,-3.08143430664731
r0p0t0a37.37,0,10.0,Q_S_D,29,37.37,-2.012086106025464
r0p0t0a37.37,0,10.0,Q_S_D,30,37.37,-2.1835916537115168
r0p0t0a37.37,0,10.0,Q_S_D,31,37.37,-2.4229298275186295
r0p0t0a37.37,0,10.0,Q_S_R,0,37.37,0.12174730312077031
r0p0t0a37.37,0,10.0,Q_S_R,1,37.37,-2.222207725496048
r0p0t0a37.37,0,10.0,Q_S_R,2,37.37,-1.313650286471784
r0p0t0a37.37,0,10.0,Q_S_R,3,37.37,-1.9299890913906665
r0p0t0a37.37,0,10.0,Q_S_R,4,37.37,-2.7006087841470787
r0p0t0a37.37,0,10.0,Q_S_R,5,37.37,-2.559958783771407
r0p0t0a37.37,0,10.0,Q_S_R,6,37.37,-3.966254009709928
r0p0t0a37.37,0,10.0,Q_S_R,7,37.37,-4.456046380827843
r0p0t0a37.37,0,10.0,Q_S_R,8,37.37,-1.331836814105344
r0p0t0a37.37,0,10.0,Q_S_R,9,37.37,-2.9897151729934706
r0p0t0a37.37,0,10.0,Q_S_R,10,37.37,-0.3678620434360198
r0p0t0a37.37,0,10.0,Q_S_R,11,37.37,-1.9905906481392321
r0p0t0a37.37,0,10.0,Q_S_R,12,37.37,-1.055543445830864
r0p0t0a37.37,0,10.0,Q_S_R,13,37.37,-2.526194316494923
r0p0t0a37.37,0,10.0,Q_S_R,14,37.37,-2.9269255265609786
r0p0t0a37.37,0,10.0,Q_S_R,15,37.37,-3.3813678201897233
r0p0t0a37.37,0,10.0,Q_S_R,16,37.37,-4.576644088677341
r0p0t0a37.37,0,10.0,Q_S_R,17,37.37,-2.7882435146065063
r0p0t0a37.37,0,10.0,Q_S_R,18,37.37,-4.059144580882588
r0p0t0a37.37,0,10.0,Q_S_R,19,37.37,-2.712370813821707
