scene,nominal_rt60_s,image_extent,path_duration_s,estimated_azimuth_deg,elapsed_seconds,edt_s,edt_s_r2,t20_s,t20_s_r2,t30_s,t30_s_r2,band_energy,angle_change_deg,t20_relative_change,spectral_relative_change
0,0.15,6,0.9,7.293121447922497,0.21527842399973451,0.08192971859416391,0.9080482701950487,0.09333968680014094,0.9930129670858094,0.09664964506309542,0.995722829216662,0.0015470056875388355,,,
0,0.15,10,0.9,7.29315611356328,0.2626909639993755,0.08192971866681852,0.9080482701029307,0.09333968800439739,0.9930129673139876,0.09664965289838193,0.9957228252184267,0.0015470056879385314,3.4665640782804985e-05,1.2901869350656625e-08,6.310963855849603e-06
0,0.15,14,0.9,7.293156068427102,0.312889993000681,0.08192971866681632,0.9080482701029334,0.09333968800436142,0.9930129673139807,0.09664965289814759,0.9957228252185463,0.0015470056879385195,4.513617568591144e-08,3.8535841184739184e-13,1.3848799320794819e-08
1,0.6,6,0.9,-131.25544796516354,0.21925463599927753,0.5262544379041061,0.998705776419009,0.48470700204090006,0.9973974986650908,0.43254393186779494,0.9849936682451249,0.008075308446799738,,,
1,0.6,10,0.9,-128.04347757028904,0.24195525999948586,0.5517136948801259,0.9986182569232487,0.5905064968231821,0.9997004820518771,0.5891635803107261,0.9993599906047615,0.008177177641574992,3.2119703948744984,0.2182751524875941,0.09910590995673325
1,0.6,14,0.9,-127.69904051728082,0.29281195200019283,0.5544447488607608,0.9985856057496811,0.6181794691267217,0.9991663517219153,0.6515060763304112,0.9986259591157077,0.008187684877234216,0.34443705300822103,0.046863112349170066,0.032446696939851534
1,0.6,18,0.9,-127.55165207187478,0.367416779999985,0.5545783560712676,0.9985838880822285,0.6207002649117725,0.9990487099403502,0.6643809435023685,0.997874379286278,0.008188197945943458,0.14738844540602258,0.004077773382884731,0.0101205521659804
1,0.6,24,0.9,-127.43378445916484,0.455756308000673,0.5545931623246487,0.9985836381925809,0.6210327381578822,0.9990326620129215,0.6658306968938908,0.9977706243887685,0.008188259436824979,0.11786761270994361,0.0005356421849713744,0.0035194442869112275
1,0.6,32,0.9,-127.46515602604896,0.7503627649994087,0.5545944592353814,0.9985836162995341,0.6210551789368742,0.9990315342130361,0.6660709616163838,0.9977574441332655,0.008188264822983037,0.03137156688410414,3.6134615155170025e-05,0.0008827538588320221
1,0.6,40,0.9,-127.46703415374044,1.8119751710000855,0.5545944423611446,0.9985836165843915,0.6210548869680181,0.9990315488906629,0.6660629072240891,0.9977576900228651,0.008188264752903145,0.0018781276914978662,4.7011741632907444e-07,9.10741378737328e-05
2,0.15,6,0.9,69.7793349857716,0.25266328799989424,0.10120068996734762,0.9566603447088949,0.10070402870165729,0.9926811249908112,0.10458088620551999,0.9967733168862505,0.0020510746114418333,,,
2,0.15,10,0.9,69.7794298917336,0.15749576799953502,0.10120069470088296,0.956660342713819,0.10070411134941168,0.9926811153034499,0.1045813360951835,0.9967731352356604,0.002051074642660628,9.490596198702406e-05,8.206995831816499e-07,8.205761138706499e-05
2,0.15,14,0.9,69.7794281325248,0.18719606899958308,0.1012006947012424,0.9566603427136675,0.10070411135568723,0.9926811153027143,0.1045813361293438,0.9967731352218668,0.0020510746426629983,1.7592087999673822e-06,6.231681837221004e-11,8.125868537874921e-07
3,0.6,6,0.9,-24.15546270554789,0.19251892500051326,0.5635396093627166,0.9939612247070415,0.3984922136329864,0.9946827417273152,0.3454954090782652,0.97159151898352,0.01225585565633434,,,
3,0.6,10,0.9,-160.43020533951477,0.15769482300038362,0.5985981709410102,0.9968588285107403,0.5403788123965344,0.9997957231122577,0.5164666119496545,0.9972270591576519,0.01255033410329508,136.27474263396687,0.3560586478465708,0.13277603157468473
3,0.6,14,0.9,-159.59842548875102,0.19070104099955643,0.6034843005312863,0.9971695872347303,0.5909269371126292,0.9987890923466364,0.6131873069722102,0.9986985485310977,0.012584138082472988,0.8317798507637519,0.09354201822221375,0.04502173266169036
3,0.6,18,0.9,-159.45023525676737,0.2483076250000522,0.6040588859511732,0.997201147437073,0.6024144332320388,0.998086172937752,0.6424225778592761,0.9978030711556887,0.012587897789518215,0.1481902319836479,0.019439790941904622,0.016265140499372305
3,0.6,24,0.9,-159.75369406363575,0.3852895539994279,0.6042001977840928,0.9972088790930755,0.6053402874835665,0.997877445644887,0.6534863457051074,0.9971357918765172,0.01258882344021434,0.30345880686837745,0.004856879400830572,0.007655336264633337
3,0.6,32,0.9,-159.77021946874478,0.7218730989998221,0.6042129045571228,0.9972094272022451,0.6055755356669926,0.997860202655961,0.6549771708275908,0.9970412390845703,0.01258889992493881,0.016525405109035773,0.00038862138914308453,0.001984486487184667
3,0.6,40,0.9,-159.7650263107257,1.2319762530005391,0.6042133116641852,0.9972094447611234,0.605592940403878,0.9978592194215253,0.6550314610994048,0.9970382788067372,0.012588902375416882,0.0051931580190967,2.8740819039585475e-05,0.00036382230464411145
3,0.6,48,0.9,-159.76418137312248,1.9670073970000885,0.6042133137621611,0.9972094448516107,0.6055929738640753,0.9978592168024786,0.6550316606979927,0.9970382604071668,0.01258890238804512,0.0008449376032046985,5.525196056233028e-08,5.965084699943127e-05
4,0.15,6,0.9,126.76372009232692,0.1884104760001719,0.04395256828088793,0.8100234297588045,0.08843366080274644,0.9577021767570905,0.08032248748224578,0.9819334277659236,0.0012528043541008543,,,
4,0.15,10,0.9,126.76371994926454,0.18418774300062069,0.04395256828081907,0.810023429758872,0.08843366080066327,0.9577021767562125,0.08032248746868145,0.9819334277737373,0.001252804354100319,1.430623797205044e-07,2.355626804728672e-11,3.389509012331145e-08
4,0.15,14,0.9,126.7637199492507,0.2252471700003298,0.04395256828081907,0.810023429758872,0.08843366080066327,0.9577021767562126,0.08032248746868145,0.9819334277737373,0.001252804354100319,1.3841372492606752e-11,0.0,3.4445695385517943e-12
